id,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
A0A0N0T2C6_9ACTN/1-306,-0.15412587,2.8378315,3.2176287,-0.03115444,-0.10751698,-2.5307052,0.0106985085,-2.048692,0.19533543,1.5871478
A0A0Q8PAB2_9BURK/1-323,-0.016256984,1.8437502,0.6227192,-0.026111117,-0.011369375,-2.311308,-0.017492447,-1.3276268,-0.8631002,-0.062330708
A0A1F4JTW8_9BURK/1-324,0.008719599,2.5187953,0.25877038,-0.0018844008,0.004040612,-2.2431488,0.047533743,-1.6188703,-0.7589852,-0.22113478
F1VUV0_9BURK/1-324,0.016029535,2.5318327,0.17205994,-0.049467318,0.018895919,-2.0838082,0.0483136,-1.3317438,-0.8593552,-0.030500885
A0A0L1HF34_9PLEO/1-336,0.015674766,0.6003663,1.0976814,0.021848919,-0.031581257,-0.66372186,-0.0047158115,-1.6359144,0.20657317,-0.60586447
A0A178DMK4_9PLEO/1-327,-0.01538047,0.15988141,1.6571392,-0.017772192,-0.023527116,-0.5855502,0.05772997,-1.8298142,-0.7091694,-0.28240448
A0A0J0XCF3_9TREE/1-328,0.013721605,1.1817302,0.6400868,-0.092994295,0.024345545,-0.74301976,-0.0030399226,-1.5910343,-0.720877,-0.251795
B9TP52_RICCO/1-275,0.008136176,1.105552,0.11996178,-0.10662723,0.031927504,-1.3419067,-0.02824707,-0.78539145,-1.1795987,-0.3267668
A0A1I5FMY7_9PSEU/1-349,0.028416451,0.3670695,-0.25227278,-0.07340209,-0.008528801,0.049600583,0.037842527,-0.32717824,-0.45462656,0.14661796
A0A2D3V8C6_9PEZI/1-347,0.0019339931,0.6791202,0.46798098,0.028725432,0.009801291,-0.51585114,0.031144964,-2.2385795,-1.978186,-1.6648132
L2FX98_COLGN/1-347,0.0074680154,-0.065857664,1.6502272,0.069357164,-0.050546363,-0.2927561,0.04507453,-1.9478786,-0.6239241,-0.024235196
A0A1W6JTS2_9CAUD/79-411,0.002989546,0.4937515,0.77312875,0.05351772,0.019973313,-0.54507357,0.044708014,-0.38337183,1.1952087,-1.115077
G1DU00_9CAUD/79-411,0.0039091804,0.50019395,0.785369,0.05199604,0.019625744,-0.5688657,0.044756807,-0.37901682,1.2206964,-1.1200868
D3Q1M3_STANL/44-391,-0.003735246,0.48401278,-1.4097747,-0.030471938,0.006861767,-0.4980624,0.029337117,0.6837275,0.74622583,-0.65031874
A0A1I1ZCD0_9GAMM/35-360,0.0065634516,-0.26157454,-0.60052335,-0.10864001,-0.006520735,-0.67294216,0.010182589,0.22581483,-0.07371354,-0.6067593
A0A0G2ZZJ0_9DELT/23-407,-0.07094128,-0.19916773,-1.5177974,-0.09047318,-0.007976447,-2.165158,-0.022259902,-0.724887,-1.0067391,1.3522574
A0A161LD80_9BACT/215-603,-0.0024283598,0.18252197,-0.46067044,-0.079306714,-0.019193897,2.0338323,0.03175363,0.15293574,0.0114463195,-0.26866668
A0A1H1M1G1_9ACTN/59-388,0.022033485,0.15614267,-0.2253412,-0.1060315,0.033692032,-0.5502205,-0.024042498,0.597413,-0.57222193,0.19477972
Q9KEY4_BACHD/34-364,0.081299976,-0.62551713,0.45714536,-0.08275988,0.03713634,0.13051552,-0.02243324,0.37212086,-1.4274645,-0.36812636
A0A1C4WD36_MICEC/42-367,-0.010244146,-0.33233532,-0.53839844,-0.06277715,0.0024333075,-0.5567051,-0.022158738,0.5728579,0.18164241,0.26274988
A0A192WX94_9BACT/30-356,-0.05776608,-1.3276943,-1.1629478,-0.06648406,0.0064943545,-0.77119684,0.041825622,0.38003355,-0.42529553,-1.064107
A0A0T1QDW9_9ACTN/8-336,0.03149829,0.35861158,0.12758759,-0.02893736,0.0412703,0.36304474,-0.022094022,1.2548054,1.6266503,1.8791711
A0A2D1U2I0_9SPHI/147-471,-0.010712561,-0.8147389,1.2322185,-0.19160806,0.03953968,0.68264204,-0.07017949,-0.12209445,0.042937297,-1.0296175
A0A1M4ZYK6_9BACT/52-378,0.041123502,-0.28424165,-0.36656287,-0.07607389,0.04410477,0.12056886,0.014370501,0.07426116,-0.9134946,-0.2687797
W5Y7X4_KOMXY/44-383,-0.07018898,2.0316086,-1.6174366,-0.048220687,0.0702062,0.62025577,-0.0791031,1.1350186,1.2020569,0.9495417
A0A1I7PHU5_9BACT/28-380,0.08445347,-0.29163828,-2.0717065,-0.025497532,-0.028172089,0.06494685,0.037560504,-0.18694237,-1.3157594,-0.28502616
A0A0N1KE85_9ACTN/48-379,-0.011547298,0.9584848,-0.07688438,-0.04600928,-0.015692865,-1.1590859,0.0013772808,0.6746323,0.29255188,-0.03769537
X2KYU1_9CAUD/87-411,-0.0062963255,0.48195577,0.7955728,0.070584245,0.011502119,-0.45505524,0.0151211135,-0.22642015,0.7822733,-1.0294341
A0A1X0HUX8_MYCPF/45-372,0.065910496,0.39732334,1.6449646,-0.053315714,0.026377449,-1.2451574,0.019822756,0.885612,1.7128576,-1.2187859
A0A0N0TT70_9PSEU/48-394,-0.052712798,0.5144141,-0.33517632,0.040283773,-0.05908163,-3.9511685,-0.030118551,0.53176856,-0.20831932,-1.9293156
R4T4U8_AMYOR/38-382,-0.006878406,0.6714464,0.09304924,0.06461478,-0.05782471,-3.37286,-0.023538414,0.7139826,-0.50870186,-1.6241469
A0A1I0LNQ2_9ACTN/13-338,-0.04654482,0.09786664,-0.4468536,0.05888859,-0.07957145,-4.2543044,-0.020488176,0.47828573,-0.22059979,-1.8892041
A0A1V4EJX9_9ACTN/28-368,-0.0043148044,0.51159,-0.4823194,-0.006165741,-0.038555805,-3.4103699,-0.04987706,0.5297437,0.041090846,-1.717746
A0A1E7NGU3_KITAU/19-345,-0.052669432,-0.037200592,-0.06733718,0.076272234,-0.08290032,-4.2254124,-0.023420151,0.6057659,-0.19248502,-1.6892412
A0A1I4REN8_9PSEU/34-366,0.011410545,0.9136631,-0.5486959,0.016644316,-0.07916392,-3.5783365,-0.029600803,0.3565439,-0.27115655,-1.7638292
F8JN08_STREN/15-353,-0.018940354,-0.21002819,-0.22254719,0.024676083,-0.072841614,-3.9963477,-0.0658143,0.66787934,-0.35296762,-1.6781266
A0A285QZJ0_9ACTN/15-357,-0.03688702,0.042200796,-0.22838363,0.085861854,-0.07786977,-4.268011,-0.044341493,0.69945204,-0.096187994,-1.6297597
A0A147FUT9_9GAMM/58-399,-0.030634029,-0.020515213,0.9733909,-0.008125376,0.010240635,0.37388974,-0.05268598,0.1771359,0.6614517,0.103259504
F2LR37_BURGS/55-430,-0.039517734,0.018260226,0.19649497,-0.115747176,0.016619032,-1.4188629,-0.030263048,-1.3550855,-0.9253891,-0.60415494
A0A142Z6G1_9BURK/53-423,-0.036082067,0.03677597,0.06684495,-0.12122717,0.007973729,-1.4167364,-0.043996636,-1.4225147,-1.1647453,-0.7746307
A0A193G9S9_9BORD/53-429,-0.03909268,-0.06970494,0.012319988,-0.12018066,0.009773161,-1.4331021,-0.04773243,-1.4664196,-1.0543127,-0.7927105
A0A069PE58_9BURK/53-430,-0.0483697,-0.06411618,0.10528882,-0.13896923,0.014079543,-1.5188926,-0.034790743,-1.5353066,-1.3718725,-0.83669066
A0A0D7PS64_9BRAD/7-378,-0.034505777,-0.41897306,0.10893722,-0.07609573,0.0100302715,-1.0973325,-0.033321213,-1.2107494,-0.66369736,-0.47240683
T5AJY0_OPHSC/52-395,-0.013145841,-0.39813346,2.6215508,-0.05674486,-0.038158357,1.0084122,-0.016842324,2.1337535,0.24294691,-0.33829683
A0A0S6UIB5_9BRAD/34-409,-0.15825106,-1.581558,0.74364644,-0.02078391,-0.121307,-2.1272023,0.045587797,-1.7379112,-2.3334272,-1.4003813
A0A1H8KD83_9BACI/7-342,0.026196804,1.2928286,0.3423398,0.06757947,-0.055592954,-0.59298056,0.07221231,-0.34277022,-0.82047814,-1.2001468
A0A233RZ74_9ACTN/66-392,0.033156656,0.18972063,2.5244179,-0.087743394,-0.0043345504,-1.2805897,0.04386313,1.1988263,2.1170673,-1.566315
A0A101NL61_9ACTN/66-392,0.032263983,0.5034113,2.6474457,-0.06423215,-0.00854142,-1.1228851,0.05375266,1.2280335,2.0361695,-1.5203975
A0A1B1B1I0_9ACTN/61-387,0.036597636,0.33142656,2.5180914,-0.09417917,0.01920755,-1.1890347,0.027513193,1.2476463,1.9128563,-1.330811
A0A1H2B8N8_9ACTN/9-347,-0.021411384,0.4153425,-0.11736629,0.061393082,-0.083063245,-2.6708386,-0.02526227,0.54373205,-0.10564524,-1.1559459
A0A1T5K5B0_9MICO/23-349,0.010650668,0.7736626,-0.2561134,-0.025747,-0.050819136,-3.167857,-0.03621241,0.53574866,0.11310552,-1.6123915
A0A1A1YGK9_9MYCO/39-395,0.015091555,0.8383328,1.1707302,-0.031552374,-0.013036407,-0.8670474,0.0025553964,0.39364493,0.79927003,-1.0450697
I3WWR1_9CAUD/80-406,0.055964127,0.30062535,1.1049995,0.058690026,0.0026715305,-0.69081444,0.0346551,-0.2640633,1.3331482,-1.0268408
A0A0Q7B632_9ACTN/25-396,0.016560793,-0.2058854,-0.28769934,-0.022126535,0.03345354,-0.44744182,-0.008739047,-0.7329147,0.017120421,-0.2455469
D1C8J4_SPHTD/231-559,-0.0023482845,0.33225644,1.1574475,0.01340464,-0.048476998,-1.13901,-0.010898028,0.17940284,0.38783103,-1.2189281
A0A1I5MMY6_9ACTN/38-380,0.02134684,0.50947887,-1.3991568,-0.044129744,0.002120804,-0.5995893,0.005158618,0.7787023,0.8963413,-0.5816961
A0A0M9DP23_9BACT/36-377,-0.005502783,-0.6072402,-1.9379005,-0.021632342,-0.04599835,1.4596926,0.03186705,-0.97669995,0.52790064,-1.141503
M7SGT0_EUTLA/4-354,0.006740366,-0.19043137,0.14796367,0.00077602454,0.0063044727,-0.83233434,-0.00053747,-1.5657638,0.08221882,0.14269255
A0A1I0SGU9_9SPHI/33-381,0.05897426,-0.35982305,-1.9061071,-0.006535573,-0.040124338,0.59314007,-0.030803215,0.06770022,-1.9224104,-0.8889014
A0A0S3FXC1_9FLAO/1-343,0.048665434,-0.43042928,-1.9154035,-0.030597104,-0.024813922,0.5331328,-0.016078789,0.08071141,-1.6108863,-1.112755
R5Z1S1_9BACE/585-976,0.01834825,0.5101212,-0.13114025,-0.061056964,-0.025108716,1.9735262,0.023861885,0.35154808,0.22197363,0.06596452
A0A1G7UHU4_9FLAO/52-400,0.050458163,-0.23690823,-2.0549746,-0.018292377,-0.041422524,0.74997985,-0.010949142,0.03329575,-1.7328812,-0.6556007
A0A1H1FS75_9FLAO/39-388,0.04388192,-0.50908464,-2.1618643,-0.032392487,-0.032899324,0.6302589,-0.0177101,0.10306111,-1.7491704,-0.978135
A0A0C1FH85_9SPHI/1-343,0.10314703,-0.0068463776,-2.0685601,-0.013919072,-0.05055491,0.5602003,0.013207696,-0.18578172,-1.6336817,-0.6868441
A0A172ZMD5_9BACL/37-361,0.025321571,-0.10647824,0.04755743,0.001091158,0.033210672,0.06374444,-0.009676881,0.8407099,-1.3988307,-0.19943908
G0G7Z2_AMYMS/21-334,0.028401105,0.36544287,-0.112965085,-0.09128951,0.02285731,-0.57347935,0.0073361658,0.28751087,-0.2611593,0.2253665
A0A0D1P6R5_BRAEL/7-383,-0.15467146,-1.261962,0.6188819,-0.06835896,-0.11293977,-2.1691365,0.039551735,-1.733675,-2.6990232,-1.5506417
A0A120FPV3_9BRAD/7-383,-0.14250295,-1.3579038,0.7276807,-0.064660035,-0.100615524,-2.0136476,0.043353666,-1.7450907,-2.5788403,-1.2831694
A0A0D7PCN2_9BRAD/7-383,-0.1366151,-1.2330279,0.7518823,-0.072751,-0.09589953,-1.9532015,0.045958478,-1.7805686,-2.6707432,-1.3425885
A0A255II27_9FIRM/10-325,0.0087341415,-0.33000898,0.03463365,0.0012476388,-0.00032871962,0.36352125,-0.03406438,0.95538574,-1.8323041,-0.40884897
A0A1B9HYH1_9TREE/14-409,0.014033059,-0.20031534,-0.19533974,-0.0012607779,0.0162186,-0.46274853,0.012016248,-1.3377866,-0.6891598,-0.15166128
A0A1B9J2P6_9TREE/15-413,0.00092928676,-0.2645704,-0.3026306,-0.013329012,0.014965525,-0.47470585,-0.0006399788,-1.5037119,-0.772254,-0.15442167
A0A1B9FV97_9TREE/15-414,-0.0021419046,-0.12462234,-0.15496182,-0.025434269,0.012876293,-0.5142862,-0.012755029,-1.345077,-0.6115845,-0.10970931
