SequenceName	ClusterNumber
N1250	-1
N190	-1
N530	-1
N794	1
N1150	1
N48	1
N894	1
N966	1
N513	1
N641	1
N283	1
N219	1
N372	1
N361	1
N256	1
N434	1
N880	1
N385	1
N661	1
N763	1
N801	1
N928	1
N1146	1
N248	1
N400	1
N318	1
N639	1
N965	1
N1140	1
N648	1
N670	1
N1029	1
N840	1
N675	1
N679	1
N774	1
N920	1
N925	1
N982	1
N781	1
N1004	1
N231	1
N743	1
N441	1
N82	1
N455	1
N642	1
N1123	1
N507	1
N1127	1
N1235	1
N1169	1
N1093	1
N901	1
N127	1
N1007	1
N13	1
N114	1
N1199	1
N1065	1
N746	1
N244	1
N809	1
N1097	1
N991	1
N753	1
N402	1
N671	1
N963	1
N149	1
N971	1
N1220	1
N38	1
N330	1
N328	1
N436	1
N265	1
N852	1
N431	1
N107	1
N1035	1
N562	1
N976	1
N937	1
N49	1
N153	1
N752	1
N986	1
N1082	1
N1196	1
N305	1
N309	1
N383	1
N940	1
N415	1
N311	1
N1110	1
N630	1
N1135	1
N647	1
N4	1
N128	1
N293	1
N694	1
N947	1
N667	1
N15	1
N703	1
N842	1
N56	1
N904	1
N398	1
N396	1
N1083	1
N839	1
N772	1
N663	1
N322	1
N1126	1
N1247	1
N1158	1
N917	1
N418	1
N253	1
N465	1
N68	1
N1227	1
N1187	1
N814	1
N1204	1
N386	1
N1107	1
N1138	1
N927	1
N410	1
N932	1
N9	1
N983	1
N1050	1
N277	1
N483	1
N245	1
N865	1
N936	1
N1222	1
N105	1
N280	1
N602	1
N333	1
N622	1
N52	1
N600	1
N926	1
N877	1
N1045	1
N1163	1
N110	1
N46	1
N1161	1
N479	1
N99	1
N988	1
N1117	1
N208	1
N1215	1
N637	1
N1229	1
N1236	1
N830	1
N295	1
N370	1
N395	1
N964	1
N1130	1
N727	1
N351	1
N387	1
N724	1
N407	1
N523	1
N1068	1
N1242	1
N1186	1
N201	1
N574	1
N792	1
N1178	1
N910	1
N919	1
N247	1
N160	1
N836	1
N1087	1
N373	1
N394	1
N576	1
N166	1
N744	1
N379	1
N550	1
N888	1
N1208	1
N857	1
N288	1
N597	1
N359	1
N164	1
N451	1
N14	1
N22	1
N419	1
N178	1
N512	1
N539	1
N977	1
N448	1
N847	1
N73	1
N224	1
N1238	1
N35	1
N71	1
N449	1
N611	1
N946	1
N802	1
N1225	1
N515	1
N680	1
N1025	1
N909	1
N1160	1
N1104	1
N934	1
N286	1
N193	1
N143	1
N408	1
N325	1
N541	1
N353	1
N585	1
N504	1
N572	1
N217	1
N269	1
N1081	1
N123	1
N50	1
N1079	1
N863	1
N953	1
N1152	1
N144	1
N505	1
N729	1
N60	1
N850	1
N532	1
N908	1
N958	1
N334	1
N29	1
N316	1
N634	1
N948	1
N858	1
N1171	1
N1193	1
N713	1
N39	1
N831	1
N1173	1
N1239	1
N959	1
N956	1
N493	1
N780	1
N874	1
N1121	1
N1191	1
N140	1
N1058	1
N693	1
N684	1
N784	1
N240	1
N405	1
N1216	1
N1027	1
N355	1
N725	1
N1172	1
N692	1
N6	1
N848	1
N789	1
N672	1
N32	1
N66	1
N619	1
N782	1
N301	1
N767	1
N785	1
N1047	1
N303	1
N844	1
N1070	1
N1006	1
N969	1
N1221	1
N199	1
N620	1
N899	1
N177	1
N856	1
N113	1
N381	1
N677	1
N130	1
N624	1
N133	1
N453	1
N1101	1
N644	1
N728	1
N631	1
N545	1
N776	1
N271	1
N37	1
N654	1
N674	1
N1175	1
N1099	1
N1185	1
N146	1
N225	1
N499	1
N914	1
N1170	1
N207	1
N241	1
N902	1
N338	1
N1106	1
N495	1
N559	1
N575	1
N43	1
N707	1
N1072	1
N61	1
N721	1
N17	1
N141	1
N1037	1
N1134	1
N159	1
N344	1
N980	1
N53	1
N157	1
N426	1
N546	1
N609	1
N636	1
N1153	1
N638	1
N824	1
N528	1
N1028	1
N403	1
N682	1
N578	1
N167	1
N196	1
N691	1
N808	1
N603	1
N580	1
N705	1
N462	1
N1113	1
N1190	1
N429	1
N1141	1
N897	1
N1188	1
N34	1
N291	1
N220	1
N367	1
N498	1
N75	1
N218	1
N905	1
N442	1
N683	1
N184	1
N1183	1
N962	1
N275	1
N1210	1
N1234	1
N709	1
N346	1
N617	1
N1089	1
N568	1
N1218	1
N42	1
N234	1
N267	1
N916	1
N800	1
N1194	1
N911	1
N1168	1
N835	1
N967	1
N1195	1
N138	1
N156	1
N537	1
N170	1
N931	1
N645	1
N992	1
N98	1
N1061	1
N726	1
N731	1
N872	1
N134	1
N469	1
N565	1
N471	1
N257	1
N1245	1
N19	1
N1182	1
N995	1
N136	1
N461	1
N1066	1
N1001	1
N189	1
N237	1
N362	1
N773	1
N365	1
N450	1
N610	1
N666	1
N341	1
N1048	1
N254	1
N915	1
N1167	1
N903	1
N486	1
N1206	1
N736	1
N120	1
N51	1
N460	1
N720	1
N7	1
N945	1
N215	1
N1230	1
N1023	1
N833	1
N747	1
N807	1
N1092	1
N1155	1
N646	1
N1189	1
N181	1
N1118	1
N730	1
N287	1
N284	1
N412	1
N1016	1
N329	1
N1003	1
N762	1
N769	1
N1226	1
N33	1
N657	1
N447	1
N560	1
N174	1
N388	1
N480	1
N527	1
N669	1
N900	1
N456	2
N952	2
N428	2
N1211	2
N18	2
N591	2
N137	2
N662	2
N795	2
N881	3
N741	3
N74	3
N615	3
N659	3
N906	3
N467	3
N1052	3
N1142	3
N757	3
N116	3
N1154	3
N665	3
N514	3
N790	3
N276	3
N525	3
N1125	3
N879	3
N482	3
N685	3
N296	3
N203	3
N626	3
N996	3
N778	3
N1034	3
N423	3
N186	3
N520	3
N1139	3
N375	3
N979	3
N516	3
N1124	3
N886	3
N534	3
N997	3
N1111	3
N853	3
N1165	3
N104	3
N563	3
N1149	3
N125	3
N1005	3
N235	3
N779	3
N1224	3
N357	3
N454	3
N561	3
N368	3
N733	3
N577	3
N625	3
N942	3
N734	3
N360	3
N409	3
N846	3
N430	3
N1213	3
N268	3
