id,dim0,dim1
N3818,0.7682672,-0.97482383
N2294,-0.42535165,2.3389547
N1604,-1.2792232,1.6768359
N4020,-1.2812049,-1.8097522
N875,0.7716729,2.6695092
N4523,-0.5449989,0.14205727
N20,-0.7794099,2.6190922
N1179,1.5900381,1.563617
N7,-0.5969082,0.10571141
N1423,-0.46872658,-1.0504509
N1756,1.9159076,0.13401295
N4352,-0.8125657,2.7081175
N3176,-0.02130796,1.3617148
N4624,-2.1486294,-2.1229954
N4012,-2.1456532,-2.1117284
N1393,2.1817844,0.063767985
N3230,2.165184,0.032532193
N3934,2.1220632,0.044973753
N867,2.0768092,0.096192494
N4679,0.08293949,0.9503294
N3172,-0.60692555,-1.0358188
N148,0.9907432,1.0200197
N3964,-1.1394329,2.728917
N2914,-0.06893728,0.22275305
N4991,-0.5634756,0.88932735
N3759,-0.40058166,0.7855602
N1862,-0.38400728,0.7551351
N389,-0.44247815,-1.8317995
N868,0.05428952,0.98137206
N2568,-0.8686439,2.739485
N1957,-1.2311614,2.635606
N1473,-0.42534873,2.599392
N3258,-0.46200436,2.964874
N2613,-0.8728313,3.0136838
N3355,0.52742434,0.3793942
N612,-1.4727414,-0.15324117
N1561,-0.93187463,0.10765413
N3742,-0.70061445,-2.121271
N1904,2.1255198,0.04867376
N4841,-0.9046288,2.5665674
N796,-0.34977666,-0.31043705
N1427,-1.3823802,1.7806014
N2848,-1.2657173,1.7701062
N963,-0.5840905,2.646669
N2736,-0.82494646,-2.051534
N3285,0.51560825,-1.5970933
N2000,-0.18399324,-0.26092857
N1774,0.102308035,-0.5766318
N3491,-0.7637204,2.777578
N267,-0.24489161,0.019513682
N4538,-0.55310166,2.3398192
N2994,-0.8336986,-1.9575676
N3368,-0.84891766,1.6460867
N3940,-1.0653917,-0.17432307
N1215,-0.9092478,-0.35235742
N651,-0.36292067,1.2339135
N75,2.2473116,0.057179816
N3290,-1.3150547,2.919714
N64,-0.039098766,-0.26074338
N3778,-0.110197924,1.2090813
N4368,-0.18436688,2.7824912
N4905,2.0549448,0.15681405
N2090,-1.1323149,-0.12805478
N2436,-1.3980801,1.9653745
N4920,0.8889045,-0.39589667
N2577,-0.3292551,0.2834482
N3915,-0.8919247,2.8825788
N3098,-1.2347624,2.6816165
N4660,-0.20563495,1.482767
N2789,1.1598315,1.0937954
N2766,1.5852332,-0.028053904
N3484,1.877917,0.089007474
N589,1.7373166,-0.09754019
N289,2.169107,0.09726159
N403,1.7080317,0.13141309
N1861,-0.73611224,0.005547963
N4744,-1.4760883,1.8817807
N1161,0.6689052,0.4146073
N341,0.105381474,0.91512185
N1289,0.3416992,0.28568015
N3449,-0.28125912,-0.52707833
N923,1.2654853,0.28180227
N1647,0.15205342,0.98085976
N4349,0.62209445,0.9766335
N2748,0.5634652,1.0160517
N2733,0.92598563,-0.010441562
N536,0.79291826,-0.09078836
N1887,1.9734678,0.046874695
N4626,-0.272658,0.89751214
N3108,-0.7786942,2.5079608
N1976,-2.0643058,-0.8281682
N4970,-0.6673325,1.6903547
N2809,0.9717656,1.1293484
N211,0.6554026,1.0555646
N3647,1.0427129,1.0597544
N3307,-0.631474,0.0031516217
N926,-0.90289927,-0.070873365
N4969,-0.49292225,-0.0072099473
N3340,-0.66579133,-0.3932389
N2443,-1.2467275,-0.13419418
N4874,-1.2853303,1.5842125
N2209,-1.1056023,-1.7051423
N3357,-1.3384557,-1.8925489
N619,0.94654995,1.1071355
N2658,-0.062481478,-0.26712835
N1670,0.05286956,0.06452904
N1539,-0.30033013,-0.68862736
N1399,-1.6814284,1.0219775
N3051,2.6463087,-2.69363
N1617,-0.19895779,-0.37490544
N1112,0.21228695,0.98327553
N119,0.95943993,1.8992113
N1086,-0.56540847,2.668577
N2598,2.0749447,0.05535721
N3499,-0.73584086,-0.13591258
N1141,-0.494369,2.7218633
N4757,-0.66947764,0.5371101
N176,-0.7568931,0.08017097
N3731,-0.6652738,0.41303596
N1059,-0.061848696,-0.26059273
N4754,-0.4143391,0.030568412
N3846,1.777884,1.045774
N3533,0.44380575,0.19714287
N3181,0.15453003,0.036801096
N3996,0.004227169,0.22069484
N4572,-0.34207496,0.12797692
N4988,-0.728917,0.07062296
N2029,1.2144213,0.98342973
N3865,-1.3174999,1.7485791
N4208,1.829979,-0.51788217
N1249,-1.4637127,2.1564941
N3651,-0.58109146,-0.19231345
N2814,-0.6189631,-0.1321282
N474,2.044988,-3.707917
N3807,1.565105,0.2450166
N3893,1.6178544,0.22050071
N1178,-1.020994,-1.2472496
N2628,-0.71835697,-1.231748
N2630,-1.4793727,0.95121646
N3650,-0.67566824,1.5831944
N664,-1.8633714,1.3580943
N2580,-1.1546187,-0.6651845
N2318,-1.7037659,1.6592045
N3356,-2.0769758,-1.0080132
N3232,0.2192066,0.58437115
N90,-3.721991,-1.7785407
N978,-3.5925057,-1.6813433
N3203,-1.0734417,-0.52105325
N1454,0.756243,-0.19842713
N4804,-0.013466403,-1.1115797
N4387,-0.8280118,0.21924065
N1550,0.56055474,0.95253974
N1363,0.5716913,0.4754856
N2986,1.2946756,-0.39307013
N3154,1.084857,-0.40550402
N555,-1.5468218,-1.460257
N3960,0.8010391,-0.069310114
N2918,0.43489558,-0.056633875
N19,-1.7928748,-1.372264
N1139,-1.6197526,-1.3832655
N1599,0.31792077,0.99027133
N1638,-1.9078038,0.66960067
N2339,0.26196754,-0.7109299
N3538,-1.5330513,-0.5697029
N236,-0.40631875,-0.940262
N3418,0.6141813,-1.0791948
N4784,0.82069194,-1.0628827
N3329,0.52096266,-1.0921428
N1428,0.7060541,-1.115526
N2593,0.69474703,-0.97060764
N4081,-0.4397876,2.635217
N2205,-2.1660254,-1.5733067
N887,0.8537267,-1.0210949
N44,-0.30010465,-0.9457497
N2040,1.1777551,1.0473707
N2156,-2.5088592,-1.578334
N254,0.07269542,0.6691419
N1317,2.043878,0.24857865
N3519,-1.5772204,1.7220074
N360,0.23589966,-0.5588749
N2866,-1.2394993,-0.14771308
N1795,-1.4045184,-0.2040644
N2099,2.460787,0.21825147
N3443,2.526673,0.19604371
N1467,2.3592868,0.15457335
N3434,2.3675034,0.12644732
N740,2.4952319,0.16687378
N624,2.477872,0.14366613
N2934,2.477708,0.1118423
