id,dim0,dim1
N3410,-0.8211235,-0.5523983
N2381,-0.6228591,-0.4666241
N3987,-0.19080628,-0.16806233
N705,0.12322761,-3.6464567
N427,0.18265125,-3.251875
N4918,0.14046939,-3.5962698
N4478,0.18861227,-3.5721436
N1373,-0.7043008,0.22462438
N4774,-0.08725702,-0.19337589
N3779,0.49331072,-1.2183868
N318,-1.299264,-1.0353785
N729,-0.10183168,1.2349608
N3525,0.06836558,1.5114065
N1060,-0.68499625,-1.2101681
N3685,-1.5248599,1.0758893
N1313,-1.3130785,-0.9064305
N1422,-1.4690081,-0.20468113
N55,1.6440619,0.31109536
N4569,0.78665763,-0.8457459
N1112,1.8490245,-0.7805993
N3638,-0.6220425,-0.11633362
N3607,-1.5731603,-2.8319833
N3211,-0.6704306,-0.81675076
N4960,-0.67739815,-0.18420139
N4951,-0.68320996,1.3133252
N3857,-1.2733947,-1.39156
N3151,-0.81479514,-0.4380118
N4805,-0.15055166,0.41459054
N2348,1.0592917,0.5874713
N494,1.0825218,-1.4542562
N1549,0.20244338,-0.20031016
N2109,-0.21059754,-0.11984595
N3812,-0.19520788,-0.18860586
N2620,-0.23595192,-0.18186532
N2705,-2.2829578,-4.1790795
N4383,-0.8737236,1.9426867
N4462,-0.7639494,0.3044877
N240,-0.7022141,1.1859787
N1347,-0.5193561,1.0397056
N2284,-1.4072587,-0.6748753
N2490,1.663091,0.8613892
N2370,-0.87807333,1.8347104
N1620,-1.0474775,-1.0504303
N3827,-0.83208215,-1.0517402
N1147,-1.5589395,1.0501364
N1072,-0.57501674,-0.07943765
N2823,0.1488495,0.16086939
N3832,-0.7355777,0.23027977
N1797,0.744395,-0.19032833
N2624,-0.7343823,-0.93806624
N715,-0.60617054,1.6312634
N4173,-0.81224966,1.9903165
N4081,-0.8457245,0.6035551
N4859,-1.4343089,0.7329962
N393,-0.6704439,1.2146145
N3724,-0.8421784,1.2164253
N3472,-0.919788,1.2077748
N1677,-0.677486,1.4041779
N467,-1.0449873,2.2741618
N3423,-1.0003211,2.304945
N377,0.76707083,1.3987586
N4970,0.32785514,-3.8844042
N4611,-1.0177298,2.0656955
N4862,-0.9453397,2.0017464
N2487,-1.0009013,2.0948558
N4154,0.14916618,-0.4953569
N1640,-0.90575266,-0.5087181
N1249,-0.8069898,1.5700774
N4271,-0.6328192,-0.25783858
N175,-0.66626483,0.0042139227
N1668,-0.58972603,-1.560081
N531,-0.6116163,0.06540793
N1708,2.5579138,-3.0826223
N938,2.5756817,-3.1338933
N1090,2.4220376,-3.2112756
N701,0.8202014,1.5166333
N2683,0.88392264,1.4832896
N2238,0.8795283,1.5021113
N3495,-0.7678925,-0.52992237
N806,0.8570887,1.5311726
N2873,0.9172839,1.7335522
N913,0.9304142,1.621769
N4953,0.8614707,1.6028105
N2849,0.873903,1.6141604
N2907,0.93512565,1.4019642
N149,-0.56133205,-0.057975914
N449,0.83807415,1.5678785
N391,-0.23175417,-0.29905
N4037,-0.80051655,-0.33974937
N4089,-0.6901397,-0.11098089
N3774,1.3720031,-0.7978408
N4794,-1.0152913,-0.14627603
N490,-0.6424304,0.08331412
N408,-0.70991015,0.027123999
N4407,-0.70518035,1.3083512
N214,-0.7348094,1.3073909
N2466,-0.7426621,-0.2767568
N3014,-0.9162971,-0.27891216
N3947,1.8755671,-0.68906516
N1803,-0.7726522,0.10641823
N382,-0.83372754,0.7351394
N1598,-0.603113,1.1517168
N2064,-0.6580991,-0.56012934
N526,-0.33585432,0.42224482
N2946,-0.32102564,0.4822404
N4610,-0.59067345,0.5834132
N677,-0.55459386,1.2396662
N131,-0.5784573,-0.31647527
N355,-0.850365,-0.027284209
N1460,2.6268291,-1.6542425
N3064,-0.55259514,-0.713105
N4552,-0.5067449,0.19463427
N1028,-0.6295017,-0.9584851
N2453,-0.7306483,-1.4066207
N3400,1.2875623,0.8093683
N482,2.8544338,-1.8758318
N3340,-0.17701955,1.0622938
N569,-0.24380577,1.030978
N4845,-0.051252604,1.0973516
N3,-0.7141874,0.7803831
N2303,-0.23085894,0.9506072
N3608,-0.42770657,-1.4992124
N2518,0.3566032,-1.4702142
N4145,-0.6149157,-0.864846
N4975,-0.6780946,-1.043089
N3418,0.8011693,-0.21322438
N3522,0.14629233,0.77925617
N1499,-0.36333922,-0.83040226
N1855,0.047212765,-0.24854587
N2967,2.6675506,-1.7035687
N4692,-0.37952724,0.04964018
N2739,-0.4284698,0.2173134
N3081,-0.52400935,0.45802203
N3960,-0.45706695,0.33443204
N1350,2.6947417,-2.0423288
N4420,2.5890503,-1.6907908
N2389,2.6957664,-1.5619994
N1590,2.7851052,-1.6517143
N473,-0.12577501,0.9042505
N130,0.50200593,-0.9914591
N1298,-0.48842096,-1.4327803
