id,dim0,dim1
N376,0.9676864,1.049425
N553,-2.9438014,0.73326254
N419,-4.541683,0.74648845
N487,-2.148801,-1.1876147
N1080,-0.4273693,2.8074937
N992,-3.1699421,3.2673779
N145,-0.1392234,-0.031649396
N606,-1.7768083,-0.34807003
N970,0.017120283,-0.27532178
N815,-1.0202419,-0.3987394
N574,-1.0257171,-0.37180972
N27,-0.7773869,0.35084563
N930,-0.7993652,0.3712132
N718,-0.80302507,0.38057482
N1065,-0.8339514,0.38263535
N731,-0.8516353,0.4768473
N278,-0.7809456,0.48348212
N1135,-0.73134255,0.40724343
N726,-0.7813541,0.4075567
N465,1.3988963,0.8679831
N716,-0.28205943,2.641063
N431,3.2965991,2.2717335
N931,3.3022797,2.4984667
N45,0.4909552,-0.6974881
N1128,2.3933086,-1.0393692
N355,-4.571453,-0.25032347
N880,0.6087109,-0.74968857
N427,0.6672407,-0.779313
N1054,-4.66502,1.4278408
N444,-4.642959,1.4531025
N1195,-4.36373,-0.16695821
N691,-5.1564684,2.6996584
N136,2.7073283,2.053831
N984,0.32638568,-1.2656786
N1210,0.3331179,-1.1865757
N987,0.47123182,-1.2868055
N249,-2.5652683,-0.9728185
N1166,-0.8639,-0.25784266
N811,-2.3872895,0.6137761
N109,-4.5047107,1.6383111
N128,-5.1588063,2.5554154
N510,-5.03862,2.1826625
N607,-4.483069,1.5122745
N674,-4.9593506,-0.1906839
N228,-4.863931,1.5023506
N1037,-4.839452,0.5337991
N936,-5.165342,0.46663672
N406,-4.672855,-0.2663377
N250,-4.76296,-0.32784265
N49,-4.6622643,-0.12706292
N1019,-4.485643,-0.23834114
N432,-4.834218,1.5075698
N139,-4.8562026,1.5371183
N995,-4.871002,1.4812595
N17,-4.4869275,1.7317938
N1149,-4.6669545,1.8032503
N1125,-4.5018115,1.4364128
N559,-5.373692,0.51164496
N69,-4.7126555,1.4107308
N840,-4.4792876,2.6251493
N1041,-5.249454,2.6499531
N788,-5.0611725,2.5755198
N67,-4.692537,2.615393
N1053,-4.5071826,2.267323
N1085,-5.0316358,2.4635892
N88,-4.3992343,2.5206056
N401,-3.8696873,1.029775
N802,-3.9248652,0.3313393
N1140,-4.8286552,-0.25367898
N542,-3.8826103,1.1219426
N1103,-2.4662313,1.3279155
N507,-3.809353,1.0892394
N659,-0.2751996,1.216148
N271,-4.25976,-0.22676556
N557,0.6505773,-0.7775096
N501,-4.574072,-0.17362563
N752,-4.4302096,-0.22865711
N1226,-0.21118003,0.6587979
N1234,-0.25253472,0.67595994
N171,-0.23061618,0.66717577
N453,-5.406521,3.1191442
N799,-0.91284215,0.8268403
N885,-0.15821156,-0.081796005
N415,-2.5203137,-1.7467529
N370,-2.628317,-1.5416628
N305,0.6651146,-0.85248023
N826,0.5999083,-0.8017335
N460,0.71281254,-0.79706466
N712,-0.87758356,0.14297791
N1163,-4.0329323,1.0295272
N196,-0.8284742,-0.2337791
N1043,-0.20653284,0.8539543
N687,-0.44009358,-0.34462762
N283,-0.46609566,-0.3495925
N474,-0.45649573,-0.32663298
N722,-0.4773309,-0.36025697
N1015,-0.2438873,0.73634064
N1050,0.39730716,-1.2665786
N974,-3.91352,1.0791278
N492,-0.9449813,-0.5150089
N503,-0.96218354,-0.5385591
N550,-0.9770034,-0.48116183
N1090,-0.9288052,-0.49842882
N870,-0.9666359,-0.50675994
N804,0.71906656,-0.7284194
N79,0.6900866,-0.71928936
N973,-3.1805954,0.929961
N340,-3.0780106,0.83449507
N188,-0.9144392,0.8792551
N618,-0.8530088,0.6571324
N396,-2.1828487,-1.2038869
N233,-0.740262,0.33204055
N350,-0.8012136,0.36326987
N470,-0.7725173,0.5249544
N18,-0.74276096,0.3848372
N940,-0.7440705,0.34800005
N808,-0.76098526,0.3564074
N227,-3.0303693,1.2388716
N636,-3.1119077,1.2411948
N180,-3.1126173,1.2560068
N803,-1.6966572,-0.5442769
N513,-0.91633564,-0.49779904
N170,-1.2558631,1.357598
N682,0.71189374,-0.69626856
N10,-1.2891937,1.4385215
N344,-1.3075037,1.4453077
N918,-1.3334842,1.5087343
N272,-1.2788013,1.4251508
