id,dim0,dim1
N454,-0.6760595,1.3182415
N336,-0.44439396,0.31538862
N283,-0.14868923,-0.28347883
N1088,-3.1128442,0.6504422
N599,-0.44603246,-2.2231596
N160,-2.3597405,0.6924229
N221,-2.267981,0.62957245
N344,-3.1113567,0.5944162
N213,-0.3355808,-1.1057833
N1016,-0.76634514,-2.2866094
N582,-0.5574681,-2.1700063
N1125,-0.79107386,-1.9647368
N1175,-0.7074809,-1.8887408
N1246,-0.35234684,-0.48768082
N203,-0.5583536,-2.2624986
N1173,-1.4132851,-0.059368502
N146,0.12636149,-0.31991857
N31,0.50852567,-1.0147629
N526,-1.5445296,-0.06018584
N1079,-1.9133025,0.34265864
N518,-1.4390829,-0.105370864
N539,-1.2530607,-0.14471507
N312,-1.4847522,-0.10798048
N1136,-2.2015333,0.5225243
N705,-0.41307557,-0.24333493
N483,-2.011587,0.5504959
N447,-2.143439,0.53386146
N138,0.70801467,-1.0566322
N81,0.27603957,-0.28672647
N559,-0.96525294,0.4597913
N791,-0.6294756,-1.8959055
N833,-0.60136926,-1.9068135
N334,0.424106,0.03170647
N307,-1.812039,0.5822692
N1196,-1.3829306,0.024082279
N1122,-1.307539,0.0031241244
N706,-1.4988607,0.009067702
N427,0.63802695,0.015342351
N17,0.57626903,-0.029615406
N671,-0.3931292,-0.5654812
N179,-0.9269097,0.6460593
N643,-3.337387,0.62327117
N251,-3.2535956,0.79243296
N136,-0.018390331,-0.06286414
N640,-1.4633209,2.7402463
N1143,-0.68808705,-2.1814783
N142,-0.29158407,-2.2116437
N652,-1.3031734,-3.872154
N140,-0.73548394,-2.833853
N1123,-1.0322182,-3.5964024
N410,-1.3051802,-3.9396713
N687,-0.08654987,-1.2359052
N181,-0.45340312,-2.6371608
N867,-0.46748832,-2.3135478
N488,1.866501,1.4115007
N1006,-0.3793253,0.07773246
N408,0.16439849,0.26975286
N1250,0.4417968,0.096298516
N325,-0.70587313,0.3827422
N981,0.27865085,-0.71278876
N430,-1.1161666,-3.7139502
N702,0.40622735,0.3405572
N364,3.6401641,-0.66041934
N137,-1.4844046,0.6126076
N63,-2.0081856,0.5840716
N36,-2.0622575,0.61453044
N442,-2.3125951,0.8430034
N102,-2.5958297,-3.7585907
N129,-2.6017501,-4.015662
N507,-2.7604787,0.55398256
N1141,-2.885489,0.704184
N435,-2.4614668,0.5368491
N166,-2.6770186,0.6067294
N627,-2.1205235,0.5190933
N633,-0.82176507,0.27703986
N249,-0.8199216,0.23468071
N317,-0.18864213,-1.3957133
N484,-0.80479205,0.4945363
N368,-1.2802153,0.25731543
N1176,-3.5665777,-5.133672
N603,-3.5313663,-5.1237154
N74,-0.7296981,0.43916887
N96,-0.9010776,0.47566673
N6,-2.989699,-3.8440676
N531,-3.5335498,0.7562747
N1130,-3.828019,0.59178865
N737,-0.7664049,-2.1854188
N574,0.3532997,0.09158303
N674,0.8066984,0.27754614
N937,-2.2480457,0.67174304
N445,-0.5495404,0.5354737
N225,-3.2947729,0.71729046
N1146,-2.324228,0.4723673
N1052,-0.75028604,0.45075643
N1149,-3.8453093,0.77921796
N562,-2.7222805,0.584973
N263,-3.9619615,0.7175742
N534,-2.9324248,0.67542064
N719,-3.3691196,0.7457157
N309,-2.5144775,0.6046519
N700,-3.1868818,0.7700296
N607,-1.0788095,1.659278
N61,-0.67918754,0.4979711
N906,-0.8168685,0.32679063
N982,-3.1038258,0.67409104
N1203,-3.0895264,0.61859965
N608,-1.0656383,0.64233464
N1044,-1.069263,0.5163767
N288,-3.431927,0.6706891
N1233,0.3753936,0.07493788
N1179,-0.3890337,-0.13885641
N1104,0.10792838,-0.7760222
N998,-1.5521699,0.3807835
N295,-3.3598063,0.6170784
N403,-3.207697,0.65293163
N1170,-0.15079375,0.60099703
N568,-3.0461915,0.66628087
N1127,-2.6730573,-3.8383472
N26,-1.9938672,0.43535256
N112,-1.9582894,0.4317856
N956,-1.0892489,1.9371947
N237,-3.5771482,0.74414736
N888,-3.4846168,0.7183432
N298,-3.3368404,0.7124975
N664,0.79441506,0.52361983
N106,0.70086753,3.7684295
N528,-1.0478084,0.038994554
N787,-1.4571453,-0.09402377
N51,-1.7769239,0.26773307
N649,-1.0235611,2.7048666
N780,-1.2357631,1.2642317
N100,-1.0377058,2.7636385
N720,-1.0300008,2.7119143
N141,4.047656,-1.0712845
N1065,2.682379,-0.6170609
N535,-0.28475952,0.58744895
N361,4.0232244,-1.0881395
N1084,2.9656384,-0.7553561
N8,-1.7746317,3.1096137
N814,-1.8320943,3.1231616
N786,-1.8349122,3.047595
N1067,-1.5784407,2.9280825
N611,-1.5227714,3.0132644
N517,-1.48991,2.7525232
N951,-1.535432,2.9114754
N302,-1.6419568,2.8221133
N373,-1.6004455,2.5648167
N972,-2.1923976,3.2024703
N697,-2.2891145,3.1388798
N1030,-2.3446321,3.3285828
N432,-2.3729339,3.2992313
N879,-2.3621237,3.3321648
N3,-2.3828113,3.34101
N16,-2.2928305,3.2983458
N711,-2.0163708,3.0671792
N802,-1.7587963,3.1917536
N1157,-1.2844634,2.645047
N580,-1.8711321,3.1288712
N1076,-1.6155553,2.9695983
N226,-1.6515526,2.735527
N4,-1.5953839,2.50565
N752,-1.6284006,2.5310004
N462,-1.9077847,2.7220926
N253,-1.6037278,2.7397153
N654,-1.5766243,2.8855658
N52,-1.6925753,2.855672
N219,-2.002964,3.221608
N54,-1.9166608,3.0318913
