id,dim1,dim2
TENA_HUMAN/804-884,0.71911854,-1.855223
A0A8I5N0T3_PAPAN/1664-1744,0.25412515,-1.8859078
A0A671K1Y1_9TELE/822-901,-1.2238103,-1.9156152
A0A8C9XQA9_SANLU/809-899,-3.4480176,-0.7448691
A0A672I963_SALFA/90-173,0.4493227,1.8423381
A0A6P7I4P6_9TELE/710-790,4.446516,-3.1347556
A0A6J1R157_9HYME/1216-1302,0.070366874,-0.24345753
A0A8C3Y235_CATUS/1543-1624,0.030956998,-3.950454
A0A8I3S7D8_CANLF/650-736,-0.5700247,0.7762398
A0A674JR42_TERCA/750-831,2.8823361,-2.9682214
A0A8B6ZLF4_ORYAF/894-976,0.48779702,-2.9579957
A0A1S3L8V9_SALSA/948-1033,-2.319157,0.42363888
A0A8B8E8L2_CRAVI/1132-1211,0.69455343,0.53848803
A0A6J2TUK9_DROLE/5660-5745,-0.8252312,2.0301042
A0A6J2PCY7_COTGO/13972-14056,1.8935528,3.144515
A0A851VF53_9PASS/687-765,0.5801781,-2.2932966
A0A3Q1FAJ8_9TELE/727-815,2.6055255,2.5094707
A0A7K7IJ57_LOXCU/4-84,0.25134578,0.2684355
H7C2P2_HUMAN/578-664,0.28501076,0.46353003
A0A6P6KTB2_CARAU/18118-18204,0.14270353,1.4727596
A0A836FXM1_9HYME/902-985,0.034165308,-0.5688278
A0A7M7MXR4_STRPU/134-211,0.29110783,-1.044261
PTPRQ_MOUSE/856-935,-0.09026643,-0.48370957
A0A8C9YBJ6_SANLU/688-769,-0.98785895,-2.6788425
A0A852AA09_CALOR/2152-2238,0.2312885,-0.41875193
A0A8U0V6G4_MUSPF/1696-1782,0.08642763,-0.3788563
A0A7K7QFW9_POEAT/864-942,0.62538767,-1.5383327
A0A3B1JQP0_ASTMX/611-697,0.2889489,-0.50382954
A0A8C8J0J2_ONCTS/224-308,5.767368,0.5830735
A0A7L1SAB8_9PASS/325-419,-2.5428643,1.1046978
A0A8C6KTY9_NOTFU/1146-1239,0.22324502,-2.3293567
A0A8J1JFZ7_XENTR/317-398,-2.9793937,2.6168685
A0A8D0DYH3_SALMN/599-685,0.050468236,1.4895514
A0A183AKC1_9TREM/1102-1191,0.60873175,1.8435552
A0A7L1K296_RYNNI/700-785,2.7658143,2.759372
A0A8C6UBA6_9GOBI/525-604,0.32621938,-0.9365908
A0A4W2EHR9_BOBOX/637-715,-1.2629036,-2.106551
A0A2K5RZ47_CEBIM/7812-7897,-0.7333824,2.2018266
A0A7L2SJD8_9PASS/193-278,2.6115558,1.7577636
A0A814B7B9_9BILA/1266-1354,-0.49085742,2.1591291
A0A8C4YJ66_9SAUR/843-936,-3.4738557,-2.247965
A0A8D2P596_ZOSLA/858-945,0.8095718,-0.62804437
A0A8C7E9P7_NOTPE/450-531,3.0423129,-0.25968802
A0A3S4RFF5_9ACAR/1845-1930,-0.73940647,1.9648725
A0A7J8JN67_ROUAE/20754-20839,-0.277019,3.3290198
A0A674F2E7_SALTR/1406-1486,-0.96459717,-3.838072
A0A8C7LJC6_ONCKI/338-419,-3.272719,2.8246405
A0A7L3PPN2_9DEND/3-78,-1.9128722,-4.0416183
A0A8C0XV18_CYPCA/94-181,-1.893392,-0.6849403
A0A8C8AAX6_9STRI/591-677,3.1447983,0.79170007
A0A6P6KQV8_CARAU/19914-20000,-0.043099105,2.2186582
A0A1U7T593_CARSF/498-588,1.1711183,0.22290444
A0A8C2ZV07_CYCLU/627-720,-1.4888563,-0.10365083
A0A7K8GMS2_ORTSP/577-662,3.2946348,0.8074193
A0A7L3BEX4_PELUR/828-912,0.62252176,0.5442483
B4QV11_DROSI/430-522,0.224707,0.5308253
A0A669E5U8_ORENI/492-577,1.0413271,0.21110862
A0A091QEG7_MERNU/274-362,1.0541801,-0.3910202
A0A556TLY0_BAGYA/390-472,0.6975692,0.3229373
A0A8W8NAB8_CRAGI/2127-2211,0.50993925,2.2839797
H3C0U4_TETNG/1009-1085,0.45243108,-1.7095073
A0A195E5P9_9HYME/780-873,0.499287,0.48711267
A0A8C3FW83_CHRPI/712-811,-4.764453,-1.9942938
A0A669PP58_PHACC/826-919,-3.6791894,-2.2881064
A0A4W6E4S4_LATCA/735-814,2.710464,-2.7536712
A0A7R8V0M0_HERIL/581-658,0.24414968,-1.0891955
A0A8C4IEY1_DICLA/521-605,1.3574867,-0.12821126
A0A674AY26_SALTR/414-499,-3.8828764,0.26801035
A0A6J2PB54_COTGO/17650-17730,1.1027489,3.2546647
A0A8V0Z6T3_CHICK/963-1046,0.55844533,0.79718196
A0A7L2HNB6_SAGSE/819-909,-1.0903587,-0.3567404
A0A6J2PAQ0_COTGO/15696-15779,0.4327156,2.7570312
A0A7F8K892_DELLE/1817-1896,0.0427448,-2.153596
A0A2I3N3T3_PAPAN/10116-10201,-0.35483754,1.731575
A0A484DLF5_PERFV/682-769,-1.0773312,-0.11869673
A0A8B9XJP4_BOSMU/1036-1119,-0.82729703,-0.46923697
A0A1S3LK77_SALSA/936-1023,-1.8756089,0.4169343
A0A6J0CR42_PERMB/23799-23883,1.2122074,3.6121297
A0A4W3IY09_CALMI/604-692,-1.2407575,1.7890644
A0A3Q0FRB8_ALLSI/4869-4946,0.6304754,-1.7244906
A0A8C8MDX6_ONCTS/423-501,2.5000036,-1.4801483
G3VWS5_SARHA/965-1048,0.56313616,0.8524579
A0A7J6CSN4_9TELE/14843-14926,0.3645708,2.762171
A0A2K6S9G9_SAIBB/1583-1670,-2.9912126,-1.2681713
A0A3S2TXJ8_ORYJA/1809-1897,0.3510949,-1.8417207
A0A671LJN3_9TELE/577-656,-0.08971537,-0.5810242
G3TGT5_LOXAF/17756-17841,-0.3900074,3.409739
F6QKU3_HORSE/778-868,-1.0960801,-0.370448
A0A6P6PAI3_CARAU/840-925,-2.0828059,-1.001246
A0A3Q0D700_MESAU/24117-24202,-1.2142181,4.279083
A0A672N3S7_SINGR/1761-1847,-1.515467,0.7128672
A0A7L3KFM6_9PASS/186-265,-1.0192008,-1.1818904
A0A2Y9NJE1_DELLE/921-1007,-0.23535682,-0.17871907
A0A6P5LTN8_PHACI/186-276,1.7242194,0.731327
A0A7K5JF03_TOXRE/396-481,0.7888092,0.32400015
A0A2K6RWS3_RHIRO/26049-26133,0.40842217,2.8783772
A0A2K6FB82_PROCO/1097-1180,-0.82729703,-0.46923697
A0A6P6KQU1_CARAU/16889-16974,-0.96238774,2.7442696
