id,dim0,dim1
N3320,-1.3664756,-0.19739042
N1629,-0.31395155,-0.74087715
N1416,-0.328596,-0.71042717
N1457,0.52054465,0.14156356
N4790,0.4974919,0.25565198
N3056,-0.9540694,-0.96430254
N2597,-0.635239,-0.72185063
N3689,-1.1353527,-1.6919459
N3376,-0.2864258,1.6735457
N3403,-3.7399027,1.3382202
N1666,-3.627037,1.3315372
N4317,-0.11816462,1.9537405
N2624,-0.27604988,1.645194
N2421,0.54984236,-0.8086383
N4606,0.54997444,-0.8244217
N3681,-2.9374433,1.1609166
N2389,0.5357494,0.3547912
N2042,1.3511488,0.9359316
N1367,-1.0511307,-0.27173102
N2258,-1.3630776,1.5318136
N3616,-1.6875244,-0.20475848
N2592,-2.0146513,-1.8913705
N1644,-0.37122285,-0.5270116
N994,-0.2557195,-0.5795804
N2113,-1.8589872,-1.8693702
N3911,-1.9037383,-1.7513299
N3745,-0.927903,-0.95804787
N3490,-1.5051445,1.8830495
N2919,0.5908353,1.1011448
N1445,0.52643085,-0.84267455
N1378,-0.3487292,2.011655
N3362,-0.26994494,-0.6285665
N3368,-1.0035689,-0.97433543
N4193,-0.59742314,1.123508
N4702,-3.180642,0.41049603
N30,-3.2169929,0.32360744
N4682,-0.942834,-0.9401394
N4696,-0.3972772,-0.93297285
N4899,0.11619262,1.9756824
N4078,0.02182268,2.0416381
N3106,-2.037674,2.5424569
N1386,1.0414892,1.1547655
N3292,-1.0449667,-0.16208155
N4869,-0.64158773,0.99259526
N1203,-0.62813574,0.9071683
N3254,-0.64853936,0.9777583
N4155,-0.6432417,0.888254
N39,-0.9343776,-0.8194559
N4355,-0.8935382,-0.87237513
N1542,-0.9425035,-0.8657425
N3012,-0.9193295,-0.832002
N2920,-0.91398907,-0.86511207
N1876,1.009375,0.9064292
N2835,-0.7825278,2.3353405
N4824,-1.77525,-0.07274527
N2938,1.0138513,1.1144577
N2017,-0.17084798,-0.31694132
N3734,-0.40276697,-2.0370638
N983,-2.326887,1.491148
N2494,-0.3162251,-0.7980683
N4412,-0.9513794,-0.6932805
N25,-0.29426503,-0.347166
N3865,-2.1380923,2.6752243
N4985,0.12799719,2.999187
N4961,-1.3228451,1.646631
N2714,-1.9632621,0.53262204
N3507,-2.0350478,-0.12552847
N4650,-0.4691513,1.2794557
N3852,1.0120888,1.1645375
N4823,-2.531376,0.32129794
N2662,-2.43392,1.5023807
N4110,-0.34591132,1.9649831
N3494,-0.89090466,-1.0854841
N2499,-0.02469594,-0.91653425
N1845,1.0467547,-5.992064
N1765,1.0159719,-5.9179983
N2707,1.0396352,-6.01429
N3232,1.0470701,-6.0062494
N1267,-0.5367774,-1.2137326
N4428,-3.644916,1.5756356
N1890,-0.95805573,-0.92979413
N866,-0.90162283,-0.97899586
N3633,-0.30759132,-0.77030444
N3972,-0.9660636,-1.08651
N2975,-1.3357424,0.028119892
N550,-0.35470963,-0.7834589
N3540,0.4107845,-1.6820549
N4668,0.08029771,-3.9869947
N1692,0.1850793,2.3208072
N4973,-1.2376438,0.3203245
N1412,-1.3051758,0.4903462
N3416,-1.1564823,0.4901346
N328,-0.32397917,-0.69613767
N3165,-0.3261328,-0.12626657
N2257,-0.32476693,-0.80940753
N3041,0.6229887,1.0210546
N1451,0.58623385,1.0201035
N4872,-0.89481544,-0.9596862
N4799,-0.9531535,-0.9075302
N639,0.106091894,-0.6057649
N3370,-0.4660732,-1.0929999
N4998,-0.36290944,-0.6971885
N263,-1.937987,-0.15636115
N1323,0.041232698,-0.9500613
N2134,-0.37104672,-1.4671125
N797,-0.38098678,-1.4632157
N1099,-0.37575406,-1.3245118
N4140,-1.9130191,-0.11060503
N191,-1.8983058,-0.13204658
N3606,-1.8392577,-0.08033077
N3703,-1.8853383,-0.18319216
N2738,-1.8690165,-0.1995804
N912,-0.9437088,-1.0882642
N63,-2.748717,0.92814565
N2073,0.119459,2.2018278
N20,-1.0485536,0.4377458
N4284,-1.1105099,0.48068142
N607,-1.5508841,-0.24448462
N1285,0.46664992,-4.1388383
N1194,0.48356643,-4.0820923
N4256,2.8629856,-0.2666546
N2790,-2.4274158,1.5738901
N677,-2.3496656,1.5952287
N2600,1.0455985,1.3200278
N3587,-0.5848519,-2.1290278
N4524,-0.39177838,-2.3709912
N1253,0.22399288,-0.39247203
N3790,-1.235232,0.58017427
N2538,1.3824954,1.0717816
N2088,1.3742177,1.0221453
N4459,1.4015414,1.0168793
N4461,1.7416388,-0.3071433
N1537,-1.4959145,0.34040123
N3811,-0.44594437,-1.0921332
N1641,-2.7398884,0.94120955
N2035,-1.128299,-1.3328903
N502,-0.17796335,-1.0894334
N2339,1.7073272,-0.36622986
N2940,1.0086062,-2.5042565
N3819,-1.5326293,2.20757
N2921,1.3796138,1.692933
N934,0.5891559,-1.9021701
N873,0.27463388,-1.771843
N2143,-1.5961378,-0.48910844
N3544,-1.9421984,-1.2111939
N987,0.30280167,-1.7650559
N3134,0.28367084,-0.79318017
N2840,1.1732403,0.85297084
N3674,0.05268934,0.6350694
N1176,0.7839395,-0.4085309
N1684,-0.16172728,-0.315796
N713,-1.0997037,3.41019
N1828,1.8129015,1.135447
N761,1.5279357,-0.9167667
N2769,1.5552733,-0.84147644
N3939,0.26631126,-1.9091227
N399,-1.5816348,-0.8420029
N1284,-4.0291376,2.1782148
N4636,1.2296729,5.732225
N3120,-1.5578291,-0.9232573
N3516,1.025831,1.1256199
N3189,-4.0193286,1.346186
N2054,0.8013677,-1.0442061
N2736,-1.6303716,-0.2405192
N2594,-3.9764755,0.43780568
N2948,-4.0710263,0.53448576
N2746,1.0554003,-0.26462397
N2573,1.0800033,-0.26367283
N260,1.0603575,-0.43644673
N861,1.057448,-0.22956555
N2467,0.7231479,3.352907
N1752,-2.7860072,-0.14243086
N3695,0.11934166,-0.32311812
N4345,-0.19538438,-0.31626904
N4766,-1.4266267,-0.50158715
N3424,-1.5001254,1.9866385
N2687,0.69397557,3.235177
N2211,0.043714076,0.6507008
N114,-3.8986077,1.2795445
N3242,0.1499954,-0.42063665
N3345,1.0891552,-0.26617914
N3048,1.3139523,0.9819582
N4131,0.23566896,0.39155996
N1193,-1.5087926,1.7158539
N3519,-2.4207907,-2.537002
N300,-2.4473429,-1.7096615
N2881,-0.0071281604,0.09498101
N3669,-0.9471419,-1.0733896
N2758,-2.4311728,3.3482535
N4208,0.962192,-0.75907576
N3000,-2.289101,0.11703918
N2462,-1.3755299,1.7729362
N8,-1.1308149,-1.9877356
N117,0.17156446,-1.0684729
N4249,0.6505832,3.654969
N1395,1.2322968,1.0633044
N1747,-2.344498,-0.13564144
N3037,-2.8090394,1.1303102
N3959,-2.90436,1.1755625
N1819,-1.5615971,-0.46320975
N1943,-1.6283923,-0.5490932
N3329,-2.4661355,3.2252023
N4853,-2.1222892,-3.3434908
N2893,-2.9075744,1.1382293
N429,-1.4270983,1.5210499
N3213,-2.873676,-2.1724627
N4176,-1.4436588,1.7660732
N1511,-0.23774973,-0.4467616
N1166,-3.6982112,0.40036777
N1258,-2.559479,0.3020463
N1090,-4.5681133,0.9364013
N2070,-1.5213009,2.0402133
N196,0.71753263,2.4271462
N4470,0.7139282,2.4104636
N1587,0.73282385,2.3505476
N3352,0.7292539,2.4033813
N2744,-3.6469367,0.39959148
N4560,-3.8796816,0.4783658
N2478,-1.4945916,2.1454484
N4966,0.7049505,3.123386
N1877,-0.21169189,-0.40920347
N2100,1.133885,-0.3062822
N3169,-0.09256185,-1.4479733
N4936,-0.12303711,-1.3815354
N2246,-0.11309,-1.638022
N1444,1.0779848,1.5460744
N4215,-0.06272318,-0.6726934
N3765,0.9286239,0.5947132
N4121,-0.85367996,-0.26895845
N1390,-0.4165147,-0.42382613
N3136,-3.750133,0.34439602
N1530,-2.0780494,2.5337186
N799,-1.5212046,-0.6236915
N791,0.5891321,1.0732114
N4371,1.2696704,4.087394
N3388,-1.655135,-1.0202029
N1388,-2.8935928,2.0196633
N749,-2.9494102,2.0933633
N899,-4.6758175,1.6518453
N3736,0.70465416,3.4239252
N1569,-0.88825816,2.6002135
N1739,-0.8691306,2.543003
N122,-0.8277283,2.4043486
N1909,0.1915048,2.1915941
N1426,-0.63807094,-0.12780763
N3215,-1.1433375,-0.39008966
N4686,1.0257316,0.081090406
N751,-4.0099864,1.3272865
N4226,0.120609194,1.8106766
N2815,-0.5607141,-0.09082256
N4024,-0.009685256,0.6137656
N2700,0.012176897,0.6350943
N1991,1.0304054,-0.7391049
N2925,0.03554462,0.55820227
N4207,0.017915826,0.6167644
N3473,0.011421505,0.58226275
N3338,-2.0130706,0.058903743
N1344,-3.585772,1.2654737
N4393,-3.5837693,1.2624109
N270,-2.184373,0.0125919
N398,0.002807647,0.6901273
N2583,-4.517557,1.3124601
N4865,0.07006802,1.0378115
N1242,-1.7347891,3.875199
N4452,-1.7645919,3.93752
N1340,-1.7044827,3.6961074
N3996,-1.5418901,2.0406709
N698,-1.6696827,3.7144914
N3914,-1.5991359,3.5512981
N140,-1.7108966,3.7642395
N736,0.7873774,-0.65147054
N3192,-1.0231664,-0.34938025
N4292,-1.7158558,2.4286957
N614,-1.7262524,2.553095
N2404,-1.4930061,1.7992467
N673,0.71779066,3.01531
N1682,-3.656427,0.490974
N31,-3.4478755,0.7357939
N3696,-3.4534109,0.6972911
N1697,-2.861895,1.3104249
N4444,-3.5478883,1.4927804
N3253,-3.4875703,1.5743392
N4384,-3.8095398,1.4442188
N2347,-1.6390088,3.6711862
N261,0.14941412,0.10592803
N759,0.2993523,2.4971905
N4741,-0.8319539,2.3967977
N1210,-0.7603915,1.871003
N330,-0.8394916,2.4166856
N3201,-0.8178445,2.3815963
N3992,-1.8442047,2.061419
N3361,-2.0482879,2.752225
N3110,0.9466292,-1.1847534
N2783,-2.0067716,0.100299634
N489,-1.2274653,-2.325149
N2861,0.8758302,-0.72139156
N3807,-1.7143312,2.9138632
N2976,-2.037617,2.2167597
N1145,-1.5477632,2.097901
N3164,-2.2408845,2.7900646
N2547,-2.136031,2.7420964
N496,-2.4281545,2.9601567
N1223,-2.2901993,2.9743454
N1069,1.1270148,1.3876349
N3046,-1.4472456,1.7650585
N1225,-0.8561637,2.393367
N1324,-0.69107795,1.8885995
N1586,-0.7700154,2.2846026
N709,-0.8032874,2.3563888
N374,-0.11528509,0.06166415
N1754,-1.5129374,2.8748488
N3571,-2.7982504,1.0985067
N3570,-1.5458157,1.9806409
N3670,-2.2659354,2.7731962
N2510,-2.8067808,2.0168264
N4303,-0.06227789,-0.28127939
N2593,0.1976578,-2.8893628
N1464,-3.4935236,0.97372615
N4492,-3.3779175,0.87931794
N488,1.0083371,-1.0688527
N3729,-1.367251,1.5510453
N1288,-3.7355628,0.6005057
N3336,-2.6282148,2.02739
N1593,-2.6297996,1.912469
N3967,-2.8093827,2.0541303
N4505,-4.2879653,1.3313185
N1661,-4.2412333,1.3648603
N1589,-3.9572732,0.56329054
N3461,-2.0926673,1.0403141
N3456,-2.8481753,2.1066718
N2618,-3.658615,0.64503103
N1771,-2.8859422,1.1787537
N2327,-3.7817693,1.2120585
N564,-1.5567242,-0.84452593
N2943,-2.765872,0.87744033
N2560,-2.3645818,0.040755697
N523,-2.8625293,2.0662904
N2606,-2.1205945,0.011365597
N4010,-3.59819,0.52161807
N1104,-2.7818518,3.592909
N2067,-3.1605432,4.2150707
N2496,-3.2438977,4.2271695
N2508,-1.3920969,1.682459
N3728,-2.6911855,0.9186306
N21,-3.5728884,0.4784087
N3051,-3.7014608,0.5460946
N1374,-3.762184,0.48848972
N137,-0.049661584,0.56874627
N1800,-0.09057606,0.09290083
N2419,-1.5910405,1.8417892
N1934,0.02322444,0.01541967
N997,0.6466065,2.9106078
N1155,0.19543102,3.518398
N1051,0.15945187,3.6110075
N2554,-1.4994104,0.4096668
N4694,-1.4611229,1.6867592
N2974,0.7177835,3.5502129
N2657,0.66144705,3.4486604
N2474,0.7412228,2.9547684
N3607,0.68090427,3.0527358
N304,0.7529067,3.2438006
N147,0.77537894,3.0617216
N23,0.70258594,3.4734266
N4794,-3.6383405,1.5770237
N19,0.159746,2.1245449
N40,0.83748525,-0.49652466
N2777,0.33060572,-0.4377696
N3538,0.774868,-0.32943293
N1782,-1.5399916,2.122378
N4769,0.70237726,3.3714488
N97,0.7529305,3.6902504
N1824,-0.20881924,-0.3038225
N3977,-3.934253,0.88455695
N2086,-1.640719,1.2349018
N418,-3.3090405,0.74354225
N3740,-2.0484953,1.2810171
N1041,-2.0477364,-0.016687945
N3487,0.38107026,-0.5674769
N3276,-3.138662,4.267491
N840,-3.179663,4.461198
N4063,0.49617198,-0.28567564
N3497,0.7390266,3.5560653
N2247,-1.5304675,1.4393674
N1066,-0.10605454,0.07326796
N551,2.196791,-0.8840498
N2621,-3.1592722,4.3981733
N2304,-1.3991015,1.8157432
N2037,-0.0033483692,-0.77540797
N4039,-4.7604666,2.9084978
N3207,0.35564628,1.7940056
N4152,-1.4113103,1.7757832
N3627,-1.3539735,1.6969672
N217,-1.3768178,1.6870202
N1068,0.15160377,0.31553155
N2213,-2.0764773,1.6220726
N2464,-2.101649,1.5512831
N364,-3.7850995,0.6000218
N2672,-2.0407705,1.2329378
N442,0.52743626,-0.3455422
N2128,0.49980146,-0.34559286
N2534,0.47302637,2.929237
N3036,0.46140984,2.8722544
N446,0.487257,2.942343
N1431,-1.1004918,-1.5018516
N2004,-4.5377493,-1.3144724
N1336,1.0289204,0.8288431
N992,-2.042333,2.5171862
N4875,-0.0074616186,0.036352914
N3077,-1.049081,-1.7403326
N3998,-0.5855107,-1.2939774
N3438,0.92579865,2.85115
N3810,0.1294365,0.79962134
N4637,-1.5141193,2.1901565
N3871,0.017908785,-0.0055294316
N133,-0.66008407,-2.1711318
N2259,-2.1239967,1.5565
N289,-2.1608412,-1.846428
N3641,0.5281238,-0.35610443
N3923,-0.40822014,-1.0685441
N3180,-1.0047059,-1.6498702
N237,-1.8888463,-1.7254949
N3549,-0.31110415,-1.1138086
N3618,0.4524414,-1.4956441
N4130,0.42578992,-1.3969924
N356,-1.5304693,-0.59002393
N2795,-0.62160015,-2.1111825
N2202,-0.57145494,-1.9613538
N3314,-0.5936598,-2.1634743
N205,-0.5896086,-1.9292357
N1466,-0.16984528,-0.5915768
N3083,-4.467572,1.4764855
N978,0.78722805,3.4024115
N3985,-2.066985,2.3558676
N4399,0.062085055,-0.9335933
N4012,0.3382417,-1.0125769
N273,0.74814326,3.4211898
N3901,-3.7468355,1.247352
N3796,-4.0298777,1.9087429
N2305,1.0737436,3.838301
N251,-2.0785487,2.7389934
N298,-0.60093653,-2.1775947
N841,-2.1875665,2.737627
N2212,-2.0644948,2.468743
N1447,-2.5374668,2.8269627
N4049,-0.5939667,-1.2531549
N4380,-0.6055903,-1.4133577
N3517,-0.5665027,-1.3714594
