id,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29
N3756,-0.046791572,0.0104645565,0.038735643,-0.0053299344,-0.0036554066,-0.023881985,0.03436735,0.012206845,0.03044811,0.0192414,0.04624096,-0.014524138,0.032031063,-0.053760495,0.019367835,-0.014258262,-0.8378819,0.027970733,-0.013002995,-0.028076671,0.027708974,0.008326473,0.027580611,-0.009062497,-0.034027044,0.042743787,-0.022939775,0.03695108,0.010702801,0.032655835
N3625,-0.0038851984,-0.004946816,0.018297309,-0.015609054,-0.015718434,0.003086253,0.035068277,-0.004836673,-0.0037891744,-2.3670409,0.023337286,0.012414355,-0.016733382,0.01022571,0.0050371788,-0.019952763,2.3533564,0.0023022266,-0.011648973,-0.015721507,0.019884024,-0.005004962,-0.03960774,-0.0067733903,-0.012755524,-0.009220209,-0.025910974,0.019520357,-0.011542417,0.013607464
N1716,-0.033207703,0.051204372,0.045799635,0.0286434,-0.010473081,0.0031179897,0.012236128,0.023279503,0.058177307,-0.46595475,0.066225275,-0.014447762,0.026722968,-0.06447129,0.027051227,-0.019699324,1.8272394,-0.024377322,-0.048151046,-0.026891448,0.044975374,0.024973901,-0.008981249,0.03072815,-0.010745343,0.020908792,-0.040813655,0.0074437726,0.003529543,0.025319058
N1299,-0.03201113,0.045303546,0.042404696,0.022715203,-0.012144036,-0.0025629029,0.014031479,0.023454778,0.05742091,-0.4633573,0.06460011,-0.010895009,0.026628233,-0.060038567,0.024396248,-0.014497459,1.5492238,-0.022768386,-0.0456317,-0.027210573,0.035952512,0.019565752,-0.013461654,0.031121023,-0.008856071,0.023257557,-0.035423517,0.006056302,0.0031707343,0.023934774
N4540,-0.0095689185,-0.004252777,0.020354312,-0.017651642,-0.015127326,-0.00065502804,0.031366106,-0.00041104667,0.0032852534,-2.1634874,0.017416865,0.014681645,-0.009732917,0.012362394,0.00842043,-0.017599143,2.25105,-0.0042242617,-0.021774262,-0.019366892,0.010815322,-0.010006338,-0.040175807,0.0068303565,-0.0104242,-0.011984937,-0.01770579,0.01020427,-0.0057763513,0.008506428
N2304,-0.008023553,-0.004622735,0.02007651,-0.01872125,-0.01433232,-0.003989419,0.033340253,0.00043809414,0.004218649,-2.1369703,0.022200383,0.015832841,-0.009491518,0.011447961,0.008424552,-0.01779442,2.1622977,-0.0030622152,-0.017877627,-0.018621348,0.009546027,-0.008954294,-0.044022,0.0060531376,-0.009817284,-0.00970563,-0.020189747,0.013253166,-0.008965982,0.0123513425
N4452,-0.016498134,0.019494703,0.009552065,-0.030821182,-0.014079128,-0.062639154,0.047817197,0.069340535,0.10064311,1.6943913,0.091397,0.021129113,0.06857759,-0.034000188,-0.020389441,-0.012728158,0.73774457,-0.0134358145,-0.060896356,-0.032041546,-0.041034266,0.011012217,-0.043952275,0.012544099,-0.015141431,0.050667807,-0.009337933,0.012527903,0.022427058,-0.0062763607
N1636,-0.007965332,-0.0036494175,0.020401174,-0.010581215,-0.014527758,-0.008709107,0.033273607,0.0025182236,0.014587669,-2.2840116,0.041819252,0.021208808,0.0007724995,0.0052912896,0.009309569,-0.0212382,2.1966832,-0.0046539395,-0.015272948,-0.027666153,0.006187927,-0.012180662,-0.053186525,0.008436028,-0.020585664,-0.0071783373,-0.028091494,0.024526889,-0.019564908,0.02282986
N2988,-0.0043506697,-0.00479972,0.021618754,-0.016665207,-0.015966747,0.0012908075,0.035624556,-0.0003580302,-0.001816215,-2.408129,0.021844223,0.016184982,-0.013681268,0.011612794,0.008358624,-0.023291804,2.5481396,0.0032289745,-0.011314008,-0.016937755,0.022110522,-0.0044596894,-0.041014142,-0.00646285,-0.01531487,-0.008907621,-0.02640343,0.020586241,-0.011474155,0.013454891
N4395,-0.030964535,0.003599347,0.018734101,0.000121515244,-0.005007757,-0.023791635,0.019525165,0.01662365,0.030705167,-0.5964743,0.04575396,0.0032951124,0.023282237,-0.018298838,0.0086398665,0.008617877,0.009901285,0.0002957317,-0.015518244,-0.029670145,-0.021138534,-0.013984355,-0.020602044,0.03469342,0.009927554,0.019257493,-0.008142064,0.0033313262,-0.0025090724,0.035637476
N1480,-0.03015944,0.009092599,0.020654893,-0.007324366,-0.008981918,-0.022040071,0.02651595,0.020521387,0.036056362,-0.5928023,0.042178195,0.0021052416,0.020960823,-0.023419892,0.006694238,0.0029081441,0.11656086,-0.0036640246,-0.027063265,-0.02717397,-0.010727417,-0.008633912,-0.027372647,0.028808933,0.0030585285,0.019959066,-0.0097300755,0.0022611876,0.0034183804,0.027208779
N4301,-0.011374021,-0.0014691781,0.0058884975,-0.022412945,-0.0017729979,-0.008497862,0.017484834,0.0071651787,0.016868327,-1.4325762,0.014875304,0.020530809,0.0031475108,0.0025991127,0.008213872,0.011168637,0.07103521,-0.006140617,-0.02037933,-0.014422332,-0.01436352,-0.0085465005,-0.030419167,0.02419065,0.013982762,0.002141917,-0.010979216,-0.0029881394,-0.004682502,0.021211166
N1882,-0.036715165,0.06490426,0.044642713,0.03741622,-0.010999213,-0.0054821484,0.014538899,0.045400783,0.08830479,-0.38216,0.086935565,-0.0075727273,0.04474837,-0.08228573,0.022469109,-0.022880651,1.6905091,-0.034021784,-0.06410635,-0.03759766,0.04446667,0.014535785,-0.031649236,0.04510449,-0.02748103,0.029239457,-0.040228188,0.0019748753,0.005248282,0.0293078
N4105,-0.031378713,0.040725626,0.04242654,0.016759396,-0.014086311,-0.004239112,0.018431868,0.021759119,0.050569475,-0.57778984,0.061037984,-0.010442553,0.022047512,-0.051092967,0.02245098,-0.016865123,1.7452637,-0.018940363,-0.042406727,-0.027473245,0.035780016,0.018532645,-0.016095396,0.02617538,-0.008942373,0.020085687,-0.034439594,0.008320472,0.0031119436,0.024068464
N2878,-0.037367284,0.05900926,0.047347758,0.033641543,-0.012992543,-0.004572464,0.017987331,0.038105194,0.074861445,-0.46171734,0.081592396,-0.01182445,0.03892296,-0.07726613,0.023030037,-0.023495328,1.7589797,-0.024486156,-0.055463668,-0.03579884,0.04725531,0.018963175,-0.022530328,0.03372541,-0.0252885,0.028414,-0.04317827,0.010341407,0.0058298986,0.030859953
N3294,-0.024436904,0.035290353,0.035512958,0.015516077,-0.011352581,0.0031268094,0.021892946,0.017918505,0.037366778,-0.84421337,0.050885383,-0.011058731,0.011204549,-0.041807037,0.013934962,-0.017300427,1.7986392,-0.01278276,-0.033451434,-0.022418795,0.036267836,0.017142978,-0.022368673,0.017164085,-0.009287842,0.011568675,-0.031781636,0.009548549,0.002813097,0.024343701
N4337,-0.027014654,0.02793328,0.035257746,0.01626869,-0.008425183,0.008095136,0.012234872,0.004562376,0.02735523,-0.80091757,0.039094266,-0.0111404145,0.011644331,-0.034350306,0.021278428,-0.014021866,2.0493093,-0.014523005,-0.034016747,-0.022352919,0.02679408,0.017306253,-0.00025034416,0.02231901,-0.00097617693,0.007836507,-0.024934635,0.0088033425,0.005949376,0.0145851495
N2376,-0.0061268844,-0.0052120066,0.018582812,-0.024979964,-0.018488102,-0.0007185405,0.03707411,-0.0010985713,-0.00046012644,-2.293292,0.016971756,0.016228411,-0.01741147,0.016439512,0.006640809,-0.018440269,2.2508342,-0.00021629361,-0.01810401,-0.015573367,0.018988006,-0.007423409,-0.04433011,-0.0053935624,-0.01163508,-0.01091108,-0.023542728,0.013818557,-0.010612797,0.009863732
N2563,-0.01712072,0.00068979384,0.023523755,-0.022381183,-0.020630907,-0.004679065,0.036583804,0.0025499873,0.0131668,-2.1169813,0.020964138,0.013162233,-0.0036178618,0.010198639,0.008955883,-0.017236646,2.234086,-0.005659982,-0.033227667,-0.026255632,0.014960341,-0.015146309,-0.044780493,0.0055929543,-0.01931559,-0.009934833,-0.018702522,0.010974398,-0.0046245996,0.006116323
N509,-0.0038528536,-0.0052836486,0.017520469,-0.010333125,-0.01254999,0.0031710947,0.03237961,-0.004685348,-0.003111248,-2.2232172,0.02576476,0.010271933,-0.01445958,0.006428061,0.0045763007,-0.020571306,2.266052,0.0030002743,-0.0076104915,-0.015544967,0.01605799,-0.0051832595,-0.03717073,-0.004163581,-0.0116687715,-0.007681501,-0.02510392,0.020459557,-0.0109150745,0.017023236
N3525,-0.0055609625,-0.0041189883,0.017601194,-0.01385377,-0.013809708,0.0051430757,0.032245573,-0.00598325,-0.0050769104,-2.1770382,0.018068347,0.009534154,-0.01622964,0.008658451,0.005566672,-0.017663278,2.2439845,0.003046942,-0.012006946,-0.01426463,0.017770909,-0.004700568,-0.034327444,-0.005763862,-0.010039069,-0.009817322,-0.02310801,0.017397808,-0.008227851,0.012205585
N3930,-0.022162186,-3.0235387e-06,0.007972771,-0.02439931,-0.008585823,-0.014712578,0.028847303,0.008106116,0.014023492,-0.830055,0.020930175,0.007027695,-0.0033875504,-0.0021364498,0.00409116,0.007903052,0.26287723,-0.0045594606,-0.020413889,-0.012238493,-0.011121668,-0.012114216,-0.032667477,0.017955408,0.013907153,0.009409307,-0.0058049457,-0.0063636834,-0.0047956817,0.016427018
N1082,-0.024491154,0.030694094,0.0388567,0.010028829,-0.01297222,0.00092473347,0.01947261,0.012624569,0.031643815,-0.87559783,0.046473544,-0.008746444,0.0092276735,-0.03361928,0.019591523,-0.015870627,2.0068078,-0.013596464,-0.031902432,-0.021691332,0.033468615,0.019428302,-0.014502642,0.019193184,-0.0019660555,0.011087426,-0.0299064,0.008440318,0.0022987872,0.019781835
N4859,-0.018833138,0.0057969443,0.016281592,-0.023130834,-0.008677862,-0.008317012,0.028159373,0.003910249,0.0098145045,-0.90057534,0.013314899,0.0010703821,-0.006658393,-0.0018946584,0.008654684,0.0039357925,0.9242644,-0.0044926885,-0.018777674,-0.008671609,-0.0007980317,-0.0022579357,-0.027301192,0.014693113,0.016415525,0.004184901,-0.009670983,-0.0056344513,0.0024012364,0.009073761
N2305,-0.010922522,0.004337467,0.0096054245,-0.022461642,-0.005211861,-0.005073555,0.029490136,4.567951e-05,0.004520841,-1.2738683,0.012869962,0.0012269281,-0.0105991075,-0.0026286328,0.0016451054,0.0036933795,0.91767275,-0.0027007456,-0.011873913,-0.005498944,-0.0005527977,-0.003272321,-0.03385795,0.009692767,0.011774653,0.0027086788,-0.010610684,-0.0008835958,0.0014772769,0.012860164
N1870,-0.00038761646,-0.0052956897,0.01864992,-0.02948473,-0.018962558,0.004701115,0.035710808,-0.0029735211,-0.008203033,-2.2401545,0.00015154853,0.018225804,-0.026817106,0.024227176,0.009835262,-0.019239761,2.2928128,0.00149188,-0.016888551,-0.006282314,0.027275197,-0.0024034316,-0.039504725,-0.011848655,-0.008338399,-0.01809648,-0.02330044,0.008651763,-0.009828955,0.0030981025
N3613,0.0068488847,-0.002226757,0.04301547,0.04980804,0.015752323,0.03840539,-0.030860461,-0.06151519,-0.048861444,1.2350532,-0.0125656,-0.03912692,-0.0023297067,0.029049404,0.028697664,0.00493553,3.3648534,0.020935085,0.042468227,0.0011732435,0.0075394213,0.04472498,0.07756342,0.0047605103,0.030009089,-0.02601793,-0.006926154,0.026546743,0.016439352,-0.015924744
