id,dim0,dim1
A0A8H6AKE9_9HELO/379-532,-2.605737,1.2213969
A0A7J6VXE7_THATH/180-292,-3.017588,1.9197955
A0A2G2ZRZ0_CAPAN/211-344,-2.4971101,1.2042494
A0A540LUB5_MALBA/285-409,-2.578781,1.3423836
A0A061G7I4_THECC/10-133,-2.6137073,1.2306638
A0A5N7A8R7_9EURO/58-158,-2.5913577,1.0636389
A0A835FPT1_9POAL/614-739,-2.4988248,1.1701889
A0A317XKR8_9BASI/422-552,-2.9386768,1.4104707
A0A8K0C8X1_9COLE/114-242,-2.5849788,1.1601868
A0A2U1NDD8_ARTAN/494-621,-2.942387,1.439784
A0A0E0IW03_ORYNI/389-510,-2.6603372,1.2414844
A0A4S4MRS6_9APHY/363-494,-2.790072,1.178432
A0A094D0Q7_9PEZI/3-139,-2.6855228,1.1720331
A0A0F4YV91_TALEM/307-432,-2.8490999,1.2740109
A0A5N6G889_PETAA/257-399,-2.7424116,1.2101858
A0A2P5EI76_TREOI/1-124,-2.5964842,1.2978215
A0A2U1KR56_ARTAN/4-130,-2.933564,1.314565
A0A4Y2ARW8_ARAVE/1-107,-2.7215607,1.2513442
A0A8H4US86_9HYPO/1-130,-2.7028978,1.2325749
A0A5N7DKG8_9EURO/1-103,-2.832181,1.1601667
A0A2P5F8D6_TREOI/52-179,-2.376394,1.1586587
A0A2P5VXL6_GOSBA/325-449,-2.6760325,1.2757752
A0A0E0R3G9_ORYRU/111-230,-2.841056,1.4919198
A0A1E7EYQ6_9STRA/522-650,-2.7321258,1.1506221
A0A4Q4ZP69_9PEZI/326-465,-2.7543366,1.1538463
A0A2T7A180_TUBBO/185-310,-2.7154634,1.1836209
A0A1X6NA73_9APHY/853-989,-2.7951756,1.4073966
L9L5X9_TUPCH/176-287,-2.5581424,1.1722577
A0A7K6MIS5_PANBI/1-121,-2.508426,1.2113345
A0A7S9KLK5_EPIFF/39-177,-2.8179955,1.1086326
A0A2C5YP92_9HYPO/333-444,-2.77337,1.2927535
A0A7J9C7Z7_GOSGO/1-117,-2.5258722,1.3029678
A0A8J5GAE0_ZINOF/2-126,-2.789558,1.2689273
A0A8J5KTQ0_ZINOF/2-126,-2.7969277,1.3061731
A0A3R7IFZ8_9EURO/217-347,-2.6643875,1.2023506
A0A0P7BS61_9HYPO/406-542,-2.8144257,1.0845704
A0A4C1TUF3_EUMVA/350-480,-2.543519,1.12818
A0A067F8Z4_CITSI/247-372,-2.5618002,0.9769508
A0A0F7ZGP2_9HYPO/170-307,-2.8139572,1.2011757
G0NI74_CAEBE/354-476,-2.5153687,1.1595337
A0A2T7PY96_POMCA/586-713,-2.6160362,1.066078
A0A4S8L9Z9_DENBC/1-125,-2.5843651,1.130893
M4CJV8_BRARP/15-143,-2.6740108,1.5263624
A0A1B7MEJ6_9AGAM/1-121,-2.5726852,1.2070401
A0A5N5QCT2_9AGAM/374-504,-2.75547,1.3174288
M0ZQQ3_SOLTU/1-125,-2.4415567,1.2722034
A0A397TS97_9GLOM/161-284,-2.6486485,1.3589354
A0A409XB62_PSICY/385-481,-2.857101,1.1665835
A0A445H8C2_GLYSO/133-263,-2.5267558,1.3255649
A0A0D0D1A3_9AGAM/1-124,-2.6214373,1.136522
A0A0C9Z6Z7_9AGAM/45-129,-2.6604402,1.071224
A0A2S7P566_9HELO/247-339,-2.5706892,1.1247232
B7PI16_IXOSC/1-116,-2.4580884,1.1383765
A0A3S3S1N0_9ACAR/1-135,-2.5089304,1.2347794
A0A319E3X4_ASPSB/2-125,-2.5806417,1.1493459
A0A803KVF0_CHEQI/258-387,-2.407717,1.2591827
A0A8K0P9F3_LADFU/6-132,-2.496168,1.1393797
A0A061FQJ1_THECC/470-628,-2.5875764,1.2237184
A0A0D2KNJ3_HYPSF/349-475,-2.5780635,1.3006349
A0A4Y9Z258_9APHY/335-466,-2.6014988,1.0778332
G9NXS8_HYPAI/200-344,-2.6138556,1.0671811
A0A5N7DKY8_9EURO/210-325,-2.5210607,1.0647645
A0A4S4MTS5_9APHY/322-458,-2.546557,1.082788
A0A8X8W249_SALSN/163-295,-2.4049008,1.2252696
A0A8H4RWW2_9HELO/303-442,-2.746426,1.1267979
A0A0L0CID5_LUCCU/566-719,-2.325829,1.1249738
A0A816GK61_9BILA/1-115,-2.531776,1.1865499
A0A364L194_9EURO/282-422,-2.5817552,0.9815158
A0A7J9IZ21_9ROSI/340-468,-2.7543209,1.2276456
A0A409XHK8_PSICY/304-427,-2.5132043,1.106065
A0A1V8TDE4_9PEZI/1091-1193,-2.8564868,0.96715206
A0A1V8UTC4_9PEZI/1090-1191,-2.882452,0.97077614
A0A2H3CGB3_9AGAR/376-507,-2.6557908,1.1410825
A0A8H8RWU0_9HELO/274-396,-2.4660454,1.096457
J0WTE0_AURST/389-518,-2.4684732,1.1056523
A0A1J8QKZ3_9AGAM/1-124,-2.5227232,1.1072829
A0A284S8G7_ARMOS/183-307,-2.5383794,1.2689664
A0A8I2YF85_9AGAM/117-245,-2.5052285,1.1433275
A0A2R6NPG5_9APHY/212-344,-2.4956017,1.0787392
A0A8H6VAW9_9EURO/381-515,-2.7063844,1.1134462
C9SQT1_VERA1/308-422,-2.59216,1.1404939
A0A7R9LNV6_9ACAR/398-518,-2.801909,1.1947925
A0A1C1CPR3_9EURO/2-138,-2.529866,1.049927
A0A1J8QUT7_9AGAM/342-468,-2.59696,1.0802162
A0A8H6WWS1_9AGAR/409-521,-2.4607608,1.0795004
A0A8H4AXJ8_GIGMA/199-310,-2.6248434,1.3296175
A0A5C3LN34_9AGAR/6-132,-2.466142,1.0815234
A0A6V7WKE4_9BILA/1-75,-2.5721486,1.2026162
A0A5E4FP60_PRUDU/1-113,-2.55246,1.0554068
A0A161XWN0_9PEZI/320-448,-2.7255921,1.3035185
A0A0C9SXT7_PLICR/24-162,-2.4902508,1.0225375
A0A6A6K5E1_HEVBR/11-149,-2.4406767,1.0851083
A0A6A6LBU0_HEVBR/165-297,-2.8937619,1.9783661
A0A409X9W8_PSICY/48-140,-2.379624,1.1010909
A0A4Q2D9G0_9AGAR/301-430,-2.5216362,1.0927191
A0A8H7DKD7_9AGAR/333-447,-2.4619117,1.1482286
W7MGR0_GIBM7/493-633,-2.469369,1.0459926
A0A8H6ZLB4_PLEOS/366-494,-2.3870485,1.0701492
A0A6A3AEM1_HIBSY/267-397,-3.3851562,2.4037206
A0A8H6XVP7_9AGAR/361-484,-2.3719215,1.1143105
A0A072UJW4_MEDTR/1-128,-2.333607,1.0917158
A0A1Y2A4C5_9PLEO/337-465,-2.5279315,1.0966644
R7YJX3_CONA1/331-461,-2.488942,1.0192082
A0A453PKE5_AEGTS/151-272,-2.2693949,1.2148147
A0A5C7HQL5_9ROSI/311-429,-2.3186064,1.188185
A0A2T4GYG1_FUSCU/964-1069,-3.309012,0.9919166
A0A4Z1HBK6_9HELO/330-447,-2.3614602,1.0521288
A0A1Y2H8U5_9FUNG/348-470,-2.504003,1.1212711
A0A0E0EDY1_9ORYZ/86-194,-2.2247095,1.1004381
A0A2C5ZKW9_9HYPO/373-511,-2.5600717,1.0806506
A0A3R7QV69_PENVA/300-429,-2.3561597,1.1259601
A0A3B1K5H6_ASTMX/2-127,-2.2435658,0.9607155
A0A8H8J5P6_9AGAM/352-478,-2.5424998,0.9627724
A0A8H5FRC6_9AGAR/341-476,-2.2978482,0.94067156
A0A0W0F7F8_9AGAR/656-789,-2.315258,0.9922355
A6RCD3_AJECN/204-318,-2.3771226,0.99795824
A0A0C2S7P5_AMAMK/284-412,-2.2639635,1.0406592
V2WLM1_MONRO/450-581,-2.3053179,1.1657763
A0A4S4MS73_9APHY/1-129,-2.3364635,1.1249664
A0A6A6LGP5_HEVBR/205-338,-2.150902,1.1369882
A0A6A6L253_HEVBR/31-151,-2.2554467,1.1052091
A0A6A2ZTU2_HIBSY/1-121,-2.3948696,0.8721788
A0A8H6ZE53_9AGAR/418-549,-2.2416868,0.98875695
A0A401GPC0_9APHY/369-496,-2.336815,1.0775971
A0A7J7KSX6_BUGNE/371-500,-2.3570898,1.0984063
A0A8J2PDR0_9HEXA/608-744,-2.2928705,1.0543144
A0A8H6QX94_9EURO/377-512,-2.515514,0.9179406
D7MAN5_ARALL/65-186,-2.210564,1.0757058
R1EH67_BOTPV/110-262,-2.3616307,0.9978562
A0A0C9YTC3_9AGAM/54-184,-2.2470372,1.02332
A0A4Y9YQL2_9AGAM/305-417,-2.3422139,0.96680003
A0A5B6VIB1_9ROSI/11-99,-2.1198838,1.130239
A0A3Q1GRM9_9TELE/1-128,-2.239257,0.7795415
A0A5N6L5J0_9ROSI/334-455,-2.2932777,1.19747
A0A8H4LL91_9HYPO/286-412,-2.3175693,0.9196506
A0A8R1EW46_CAEJA/1-125,-2.1641457,1.0359159
A0A164W3J2_DAUCS/375-505,-2.0916538,1.0395951
A0A200PPA0_9MAGN/1-123,-2.3887756,0.84094924
V9E1J3_PHYPR/1-130,-2.2437549,1.1433344
A0A0C9V3E8_SPHS4/45-122,-2.162445,0.9726997
A0A507BAQ4_9PEZI/354-489,-2.2637105,0.91587365
A0A072PQ43_9EURO/313-402,-2.5117648,0.7838154
A0A8H3IPH0_9LECA/139-263,-3.4515254,1.0735404
A0A445I4J9_GLYSO/36-163,-2.0260346,1.2629533
