id,dim1,dim2
A0A010Q9K6_9PEZI/15-292,1.7700726,1.0649118
A0A010QDI9_9PEZI/44-382,0.56063753,-3.2238636
A0A010QH97_9PEZI/4-377,1.5862044,1.1650597
A0A010QLE8_9PEZI/83-430,-0.7180526,-2.3006828
A0A010R563_9PEZI/46-413,-0.5364572,-2.0539505
A0A010RB36_9PEZI/59-388,-0.36411726,-2.3842146
A0A010RBL1_9PEZI/14-378,1.5865674,-2.2456734
A0A010RQ09_9PEZI/15-378,0.09541692,3.6502116
A0A010RQ92_9PEZI/313-607,0.31752264,-0.0850396
A0A010S3V9_9PEZI/5-388,2.3966181,0.84837323
A0A010S4A2_9PEZI/15-403,4.94909,1.365159
A0A010S6P5_9PEZI/26-389,1.682313,1.1535703
A0A010SCJ4_9PEZI/9-378,1.9825124,0.8793195
A0A010SDD9_9PEZI/17-378,0.08982147,3.2767105
A0A010SMR0_9PEZI/12-384,1.9872421,0.9061784
A0A010SU85_PSEFL/48-385,-3.1064754,-0.7369762
A0A010SUV2_PSEFL/14-376,-1.5343419,6.4902253
A0A010YR49_9ACTN/15-362,0.12368761,3.6493661
A0A010YZ76_9ACTN/37-379,-0.3346876,0.35440436
A0A010Z6B0_9ACTN/11-338,0.35086316,0.75842196
A0A010Z6B6_9ACTN/625-948,0.2918381,0.76928467
A0A011AEH1_9ACTN/11-335,-1.6458006,-0.060617182
A0A011AHE0_9ACTN/23-405,1.9374825,3.8614562
A0A011WSG6_RUMAL/19-322,-1.7207637,-2.8821092
A0A013VLF4_9SPHN/9-280,2.5601172,3.8876874
A0A013XY14_9SPHN/61-370,-1.4758056,-1.3666934
A0A014M103_9GAMM/37-374,-0.22649758,-0.9282424
A0A015I6P4_9GLOM/137-540,-1.30811,2.069678
A0A015KP95_9GLOM/66-453,-1.3311005,1.9815931
A0A016S989_9BILA/47-416,-2.1403694,2.2136624
A0A016T9E5_9BILA/24-381,-1.7638402,1.8858112
A0A016UEF5_9BILA/127-496,-2.0992875,2.2447307
A0A016UFR3_9BILA/86-455,-2.0992875,2.2447307
A0A016UGG6_9BILA/114-483,-2.0992875,2.2447307
A0A016WPT6_9BILA/74-480,-2.1713314,2.2652702
A0A016WQF3_9BILA/74-437,-2.1713314,2.2652702
A0A016WXG0_9BILA/47-414,-2.1619976,2.1924486
A0A016WZP3_9BILA/59-426,-2.1619976,2.1924486
A0A017SHD6_9EURO/14-368,0.15911156,3.4517312
A0A017SV39_9DELT/4-340,0.23060562,0.5709318
A0A017SVL4_9DELT/14-387,0.6192798,2.2554193
A0A017T5V1_9DELT/59-446,1.8647335,2.7118852
A0A017T8H9_9DELT/38-389,1.6909518,-3.5639956
A0A017T8Y2_9DELT/19-388,-2.0866294,-1.0415294
A0A017TFL8_9DELT/49-381,0.124794155,-0.29431677
A0A017TFT6_9DELT/62-413,-2.9372451,-0.8182625
A0A017THP6_9DELT/14-390,0.651511,2.2215765
A0A017TJK6_9DELT/60-386,2.5740614,-0.34404626
A0A021VM77_9CELL/53-377,0.3168801,0.19276257
A0A021X606_9RHIZ/31-346,-1.5406091,-1.721481
A0A022KVH6_9MICO/37-368,0.28951484,0.20017324
A0A022KXJ9_9MICO/103-450,-4.219613,-0.806945
A0A022KZC5_9MICO/36-403,0.3457393,0.22016664
A0A022L055_9MICO/56-374,0.058420777,-0.38751307
A0A022LIX6_9MICO/15-351,0.2694443,0.2816946
A0A022LMB7_9ACTN/62-409,-1.6800069,-4.701007
A0A022LQ43_9MICO/21-362,0.36333263,0.23098296
A0A022LRR1_9ACTN/7-362,0.19947967,1.6987164
A0A022M7Y1_9ACTN/69-460,-5.885414,0.11904054
A0A022M814_9ACTN/4-320,-0.2660265,0.5258049
A0A022MFK1_9ACTN/58-390,-0.11746513,0.49942958
A0A022MH53_9ACTN/31-365,-0.4168735,0.46932423
A0A022MIQ5_9ACTN/47-385,-0.39391226,0.49040356
A0A022MN53_9ACTN/37-392,-0.5978317,0.70654213
A0A022Q4F4_ERYGU/479-881,-5.076409,2.0450528
