id,dim0,dim1
N3973,-0.87875086,0.7787328
N2849,-0.9704328,0.72020584
N1217,3.0693526,4.0137024
N4531,-0.24454327,0.08069869
N4759,-0.025097644,0.33247176
N235,1.8184671,0.5103971
N2936,1.769038,0.40379184
N1839,-0.098831005,2.548045
N2596,-0.023973083,2.7503984
N2287,-1.0003239,-0.1804868
N2500,2.7890804,-0.021322958
N2005,2.1283336,1.4190665
N1642,3.4099932,3.0747259
N4444,3.2917044,2.8663027
N2912,3.311465,3.1100242
N2919,2.9229815,0.24833027
N2661,-0.77325404,-2.535606
N4093,-0.7404761,0.6875989
N1631,1.0342138,0.46906167
N4190,-1.1984485,0.739688
N1776,-0.7852276,0.0776748
N3042,-0.4226465,0.5225659
N4255,-0.6753057,0.35965398
N1804,-0.5286586,0.15877238
N1403,-1.31571,0.09078907
N2439,-0.8038007,1.4991789
N1888,-0.41387174,-0.10539656
N2606,1.3758264,-3.0037508
N2294,1.0276194,-2.5875564
N4131,2.8019967,0.5911422
N4071,1.9917295,-0.060513966
N2034,-0.43198913,2.3930783
N984,0.26060796,0.32409373
N1807,-0.33375576,0.44490224
N910,2.4602983,-0.062987626
N4481,2.493388,-0.34675345
N3137,2.6302302,-0.29933107
N1742,2.463447,-0.24140638
N3612,-0.050478358,2.5632563
N2722,0.624634,-0.06728609
N1061,-0.0037470595,0.1749781
N296,0.08095836,0.34631252
N3497,-0.37126157,0.5635477
N2889,1.9534491,-0.16321507
N4240,-0.7930286,0.7228557
N2853,-0.59521306,-0.5252229
N2604,2.4153256,-0.13701856
N282,2.2751212,-0.24324062
N204,-0.8312141,1.4154309
N3120,-1.5528543,2.6037357
N1523,-1.0581821,2.49888
N1764,0.5885525,-0.19800048
N2432,0.5739157,-0.2161817
N854,-0.5108663,0.3293399
N3664,0.87387335,-2.2226236
N2091,1.7990551,-0.13828968
N4766,1.827774,-0.09645472
N1142,0.6177387,-0.13279209
N1411,0.72476304,-0.18654881
N3465,1.0243133,-0.81205666
N1333,1.3403426,-0.7881196
N3332,2.233052,-1.300661
N2944,1.0346799,-0.80062807
N3557,0.99406534,0.45972663
N848,0.045225285,-0.07551668
N1780,0.16867706,0.25622928
N4914,-0.56524223,0.1602287
N3490,-0.07652455,0.25493416
N63,1.2318004,-0.9399148
N3416,-0.64738214,0.30073258
N553,0.85756797,-1.2068167
N1071,-0.5445476,-2.4660833
N2587,0.30961165,-2.136745
N392,0.854177,-0.9666232
N4491,0.4700992,1.404965
N1436,0.48396382,1.4899999
N402,0.44771075,1.3829285
N1697,2.3492901,-0.37544355
N3186,-1.4319049,-3.0209372
N871,-0.6635501,-0.08843848
N3040,-0.712629,0.691387
N4768,-0.32380617,3.315467
N3403,2.193708,-4.9253035
N2316,0.5106167,-1.878949
N3370,-0.80340356,-0.40220478
N1041,1.4750884,0.19610912
N3505,-0.1853195,0.42222565
N1984,-0.7260143,1.4973162
N4160,1.2892904,-3.1096778
N4638,1.4543437,0.5550466
N1273,-0.42331845,-0.55585086
N4041,0.37230366,-2.2708254
N503,-0.4528679,-0.008780383
N3177,-1.2340689,0.021519892
N1503,0.5931763,-0.7901624
N2387,0.5565614,-0.7550172
N1074,0.24142799,0.42938453
N1404,-2.120243,-4.4076805
N1038,-1.4942961,-3.0618346
N2079,-0.935084,0.1664319
N453,-1.1191741,-2.6939828
N1497,0.5330917,0.031278454
N2006,0.6241162,0.23119107
N1723,-0.7403301,1.4126065
N999,1.7920407,-0.05279781
N2080,1.262311,-2.5724206
N4778,0.9321436,-0.6361847
N86,-0.60273457,0.7325911
N4912,-0.9694089,-1.5647072
N4959,-1.2044743,-1.362482
N4928,-5.18606,0.41916037
N1632,-0.15309961,0.097378634
N2571,-0.6862462,0.6221703
N2601,1.0712404,-1.5951583
N2636,-0.91039604,2.5028715
N222,3.6238978,0.118020795
N4433,-1.1050978,6.213061
N4574,-1.0656428,6.2717867
N4892,-0.98277783,6.094567
N3127,-1.0056689,5.899488
N1556,-1.0863451,5.9232664
N4247,-1.1220781,6.2502656
N3249,-1.0812647,5.9509063
N370,2.733209,0.101813905
N2993,2.450369,-5.698145
N99,-0.34785283,0.108096294
N753,0.9151403,0.4132111
N1662,3.5352871,0.13370994
N1949,-0.14571057,-2.4035628
N4741,1.0998812,0.64442843
N227,-0.0046572997,-2.7231905
N1509,2.5427892,0.12884253
N2441,3.0058498,-0.40345338
N4999,5.092234,0.25673395
N4951,5.073808,0.2595914
N3003,4.973892,0.2304123
N1600,5.0917473,0.26324123
N3473,5.0728974,0.25803867
N3898,0.004458973,0.0031970218
N549,-0.66607463,0.43783915
N188,-1.4848093,-0.052456714
N1097,-1.4973289,-0.1218916
N749,-1.1488751,0.09888322
N4218,-0.029073339,0.9559679
N4929,-0.20834497,0.30953768
N107,-0.067687035,0.25833875
N2837,-1.1125029,0.42076224
N2478,-0.97947454,0.6285591
N920,0.668191,-0.7046372
N1559,-0.731633,2.69823
N1826,-1.1811984,2.19188
N162,-0.89068085,2.1236145
N452,-1.1430233,0.36697626
N146,1.1274922,-2.3933997
N4098,-0.75973797,0.46908486
N2691,0.86891705,-0.783451
N3574,0.049358793,3.7313986
N2576,0.9372878,-0.1118489
N2486,0.45971754,0.35791558
N1734,-0.64413524,0.14833415
N3167,2.0268648,-0.124844
N4793,3.0206194,3.2405756
N1996,-0.2733228,0.6900477
N4179,0.009191282,-2.211452
N2907,2.9369733,0.21942902
N1029,0.7041571,2.3707597
N4861,2.202054,-1.46663
N463,1.0658554,0.78428966
N3824,-0.38108626,0.27199468
N3441,0.7789128,-0.7306115
N1296,-0.3367161,0.5477911
N575,1.6656924,-2.8133483
N3907,1.8393214,-0.025694996
N3961,0.73503214,-0.85418475
N1608,-0.10118086,0.3056772
N3191,0.87968725,0.6315149
N1568,-1.0364869,0.3474097
N2639,2.814836,0.32603642
N3846,3.1415546,-0.54947305
N3389,2.1074069,0.06737494
N1960,-0.52061325,0.5063369
N4977,-0.731357,0.4658743
N2458,0.028584393,-1.9075956
N4371,-0.24146457,1.8440747
N3860,-0.2639524,1.8201298
N4834,-0.3125845,1.7425607
N4996,-0.33685037,0.6096018
N3020,-0.0031601894,1.0433139
N1952,0.2543121,0.23025367
N1179,2.6991432,0.29064974
N1678,1.12088,-1.1476437
N4802,-0.011267262,-2.9783626
N2631,-0.27143332,1.8374629
N1475,-0.4861992,0.4492374
N1143,-0.10634704,0.51634365
N4880,-1.3099023,-0.8653737
N2420,-0.2528732,1.7778854
N3970,0.6621261,0.6706898
N1738,0.13971357,-0.28394717
