id,dim0,dim1
A0A8C5HDE5_9TELE/219-327,-2.8176792,-2.5645177
A0A674JB29_TERCA/360-489,1.9997507,-2.879502
A0A6P8S9T6_GEOSA/362-491,1.9667828,-2.9577532
A0A7N0RJ48_KALFE/412-550,0.08536741,-1.1166
A0A8H7T8U9_9HELO/591-697,-1.3653638,2.3512123
G7E1J5_MIXOS/214-330,-0.9532084,-1.817946
A0A8B9MDI9_9AVES/198-306,-3.3413675,-1.7760484
S9WGZ8_9TRYP/305-410,-0.7636628,1.1642605
A0A8H5AF94_FUSOX/196-307,-0.8823639,-0.83007455
G4U868_NEUT9/30-140,1.6822517,1.6759266
A0A151WT61_9HYME/506-616,-2.2555656,1.4148935
A0A8H8CVY9_9EURO/344-455,-0.23069786,-3.5593214
A0A8B9PUR3_APTOW/177-285,-3.3518906,-1.7757589
A0A674N6F2_TAKRU/369-497,2.1709375,-2.76545
I4Y5L0_WALMC/104-217,-0.06467338,1.9113214
A0A673M7D8_9TELE/258-366,-2.8673682,-2.5044155
W2SWW7_NECAM/219-325,-1.9445612,-1.3289738
A0A1W0WW52_HYPDU/46-163,1.7190018,-0.3667783
A0A0D1E559_USTMA/440-553,0.4608157,-2.442929
A0A1J7GRX2_LUPAN/39-148,2.94609,1.1836785
A0A453H424_AEGTS/39-148,3.7164702,0.9410965
A0A4W5RDC1_9TELE/538-643,-3.6248834,-0.35326725
A0A5N5X723_9EURO/346-457,-0.014782126,-4.194846
A0A6I9Y635_9SAUR/51-169,3.68165,-0.3060762
A0A2T9YME8_9FUNG/527-631,-1.1679823,0.8014636
A0A8C3ZK64_9TELE/357-486,2.0588365,-2.6925738
A0A2I3SY77_PANTR/220-328,-3.3509066,-1.9111153
A0A0A1U6T7_ENTIV/54-163,0.12151115,-0.008540794
A0A5N5G076_9ROSA/414-562,0.08816317,-1.1419988
A0A7J8D8E6_ROUAE/552-660,-3.7105303,0.7213605
A0A8H4Y9D9_9HYPO/196-307,-0.87247235,-0.81702745
A0A1W2TDJ0_ROSNE/129-240,0.58204913,3.181545
A0A6I9TFS3_SESIN/39-149,2.8975587,1.0134813
A0A7N5ZV65_ANATE/542-650,-4.132125,-0.14577278
A0A383ZQR7_BALAS/502-610,-3.650075,0.72530895
A0A814KQY5_9BILA/393-524,1.0245132,-2.202973
B7QIP4_IXOSC/528-636,-2.201952,0.6966318
Q4WUQ0_ASPFU/609-715,-2.2058184,2.6313574
K9FWM0_PEND2/166-284,-0.48873064,4.0217023
A0A0L0H9B4_SPIPD/533-642,-1.3170403,1.1304277
A0A8D2K5D5_THEGE/220-328,-3.3509066,-1.9111153
A0A671Z425_SPAAU/338-466,2.1312623,-2.8862665
A0A4Q4X859_9PEZI/125-236,0.41945797,3.0739357
E2LW92_MONPE/110-226,0.88691974,2.0048115
T0LA15_9MICR/78-188,-0.38595027,1.4488435
A0A319ECW1_9EURO/511-617,-2.3788154,2.7417326
A0A7J8XQE0_GOSAI/42-151,3.3329806,1.4037638
C1MYJ7_MICPC/14-123,1.7401438,0.2808807
A0A2I2FBG4_ASPCN/510-616,-2.1585438,2.4336798
A0A673I3I6_9TELE/368-500,2.0375574,-2.7892532
A0A0D2CD17_9EURO/505-611,-1.6203818,2.1117826
A0A667ZRC4_9TELE/220-328,-2.8673682,-2.5044155
A0A439DGK1_9PEZI/343-454,-0.9558671,-3.2052748
A0A2I1CHS7_ASPN1/346-457,-0.059023023,-4.1787286
A0A4W5RDC1_9TELE/205-313,-2.8168306,-2.6038387
A0A2C5YEF1_9HYPO/196-307,-0.8869994,-0.78620356
A0A2K5MDL9_CERAT/367-496,2.0799046,-2.940232
A0A158P6P6_ANGCA/364-486,1.1408895,-2.3339906
A0A166BDH6_9AGAM/108-226,0.63706183,1.8726944
S8BE29_DACHA/202-308,-1.2140583,-0.91713375
A0A1S4CUC6_TOBAC/39-147,2.7058175,1.109195
E3MXF1_CAERE/364-488,1.0291269,-2.0783057
A0A0B0MWV4_GOSAR/42-151,3.3045394,1.5980232
Q7SE42_NEUCR/509-615,-1.4269607,2.8788936
G2R450_THETT/507-613,-1.4328612,2.7901578
