id,dim0,dim1,dim2,dim3
N3033,1.9458289,-0.43919373,0.8708469,1.7452976
N1256,0.24318492,1.9585557,-0.3253132,-1.0369282
N599,0.03196077,2.6197934,-0.3548333,0.77867454
N3453,0.26479232,0.107537955,-0.63623697,0.38163406
N2768,0.09794881,-0.056184776,-0.68758386,0.6963198
N845,0.31823176,0.21666703,-0.34143603,0.1855416
N1680,0.2527038,0.2040374,-0.37019223,0.03156333
N4224,-0.023782924,-0.7446282,-2.272623,0.16953783
N4209,0.0598151,-4.127176,1.0551556,5.422903
N3327,-1.1085484,0.0498199,1.2872641,-0.18876702
N3726,5.7895565,0.0074123703,0.09684836,-0.6696597
N191,6.067104,0.076114535,0.031281196,-0.69532883
N4648,5.308796,0.38227025,0.02279649,-0.6285088
N829,5.291512,0.38913605,0.12790248,-0.62340367
N2530,2.7840786,0.61818373,-0.64945453,1.7704166
N3408,-0.6441429,-1.3123103,0.09214803,-1.6245967
N4014,2.7787282,-0.24885514,0.64167476,0.044382747
N4329,0.28459674,0.10963888,-0.3470715,0.72156405
N3239,-1.460494,0.81127256,2.3383203,-0.44652596
N773,-2.004883,0.32045725,2.6175358,-0.09210898
N3563,-0.38103974,-0.2912661,0.25111693,-0.18674311
N1704,-0.79520166,0.3938713,0.42569607,0.7292237
N2297,-0.786527,0.29530698,0.07226915,0.39351082
N1058,2.122077,-0.77215004,1.030903,-2.1628685
N417,0.04573665,1.5559698,-0.49069318,-0.12165041
N932,-1.1440086,-0.15590844,1.1766918,0.40364906
N4548,-1.8269068,-0.6127714,-1.9161257,-0.38977167
N3867,0.85974675,-0.801493,-0.46614084,0.73334074
N1890,-0.24708873,-0.4508361,1.1247144,-1.4840261
N4118,-0.5682012,-0.50622296,0.541443,-0.97992676
N3488,-1.5216011,-0.77196944,-2.6603448,0.22308965
N2962,-1.1484437,-0.6740408,-2.4892447,-0.377351
N4809,-3.3434541,0.036840815,1.0694364,-0.8464328
N1946,-2.947557,0.5302904,1.0308278,-0.563461
N347,-0.4159288,1.0710545,-2.0853508,-0.41922048
N1091,-0.6401325,0.95791894,-1.9220291,-0.4401079
N2298,-0.48164687,1.6707013,-3.2331784,1.1093502
N4125,-1.0488014,0.21065897,-0.21263751,0.11078812
N1943,-1.9425783,-0.8510946,0.8538561,0.4234735
N3905,-1.0571353,-0.54805017,1.0661911,0.08994736
N3367,-0.73420864,-0.26416233,0.18326765,0.7720916
N1655,1.3519652,0.07843955,-0.11881068,-1.677058
N3383,0.055708617,0.039767772,-0.24603847,-0.46168578
N3646,0.28727055,1.3122939,-0.90169686,0.29778194
N2043,-0.6484655,0.45877597,-0.13380544,-0.6580821
N556,0.06712178,0.82423985,-0.21122235,0.376511
N2915,-1.8944209,0.5724232,2.063015,-3.0093675
N3193,-0.35820302,-2.4133503,-1.4734012,1.2676471
N2728,-1.2346841,-0.70112467,1.0790228,-0.4917937
