id,dim0,dim1
N3033,-1.1141145,-0.80779356
N1256,-0.5529009,0.23023774
N599,-0.15462527,0.44321075
N3453,0.26244658,0.7797608
N2768,0.26426214,0.6465889
N845,0.25986344,0.5592472
N1680,0.18102144,0.55431294
N4224,0.3700869,2.353029
N4209,0.48686805,1.5673579
N3327,0.2499018,-1.4713632
N3726,-0.13957995,-0.20012622
N191,-0.144249,-0.13912985
N4648,0.05123715,-0.09333594
N829,0.047541976,-0.11116311
N2530,0.37361518,0.46605712
N3408,-0.44918352,0.18385842
N4014,-0.083454564,-0.45077434
N4329,0.33553097,0.55981904
N3239,1.0893612,-2.0121465
N773,1.3880956,-2.426198
N3563,-0.8078206,0.054134257
N1704,-0.8333594,0.0991893
N2297,-0.9599956,0.24764858
N1058,1.5295554,-0.37518886
N417,-0.15474258,0.40710592
N932,0.35344034,-1.1319623
N4548,-0.558853,2.9881449
N3867,0.4010789,0.5975731
N1890,-1.560309,0.39048553
N4118,-1.1302435,-0.1090205
N3488,-0.28428745,3.2961073
N2962,-0.5277577,3.3812296
N4809,0.64077723,-1.2812052
N1946,1.0262692,-1.5647134
N347,-1.7339981,2.4059231
N1091,-1.6720309,2.5657709
N2298,-0.75859743,2.472075
N4125,-0.977101,0.5532585
N1943,-0.21843341,-1.3761898
N3905,0.6238217,-1.4530001
N3367,-1.2047224,0.4937996
N1655,1.7252132,0.13185434
N3383,0.2875196,0.4426005
N3646,0.32485917,0.9420085
N2043,-0.8760934,0.40765885
N556,0.13472605,0.47120303
N2915,0.026647473,-1.6569322
N3193,-1.4883666,1.462969
N2728,0.24066636,-0.9937953
N442,-0.46665025,0.088385895
N2424,-0.70823526,0.59248435
N3420,0.2574532,0.40517542
N478,0.7840468,-1.302089
N4202,-2.6859438,1.0013946
N3169,-2.6105592,1.0146282
N2273,0.5541965,-0.1595812
N3906,-0.85631263,0.7511495
N4487,0.050358236,-1.181237
N4334,1.531953,5.532485
N715,1.8500695,7.321316
N3419,1.661479,7.4199944
N351,1.617459,7.1891522
N2,1.6912463,7.307426
N4463,1.7388899,7.2996836
N4994,1.8038357,7.361961
N507,1.0910575,6.2013955
N1170,1.8456761,7.2191195
N1885,1.3720813,5.7444224
N2459,1.7980219,7.2970405
N1833,1.9926026,7.418382
N2444,2.0226958,7.363457
N3302,1.9305421,7.5350137
N3058,1.4972341,6.7905245
N1597,2.0119126,7.466979
N3841,1.9907308,7.441107
N133,2.0886562,7.3898897
N2860,1.923471,7.634347
N578,1.1180811,6.130984
N1302,1.1726815,6.1615224
N2499,0.4899759,-0.98945975
N4225,-0.7815255,0.4931969
