id,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
A0A8C5HDE5_9TELE/219-327,1.498262,0.029826637,-0.105614826,-0.48865694,2.3390076,1.8044771,-0.0051713143,0.030064367,-0.012969135,-0.03027936
A0A674JB29_TERCA/360-489,2.5976603,-0.023226192,-0.06971434,0.596408,1.8135554,-1.035604,-0.0765691,-0.00014189258,0.014339255,-0.008385476
A0A6P8S9T6_GEOSA/362-491,2.3966994,-0.019591918,-0.053503115,0.12986273,1.7234669,-0.88445014,-0.07040272,0.0052946843,0.0077742804,-0.00322536
A0A7N0RJ48_KALFE/412-550,2.004711,0.022223167,-0.022388926,0.9633742,0.8011891,1.0458409,-0.05679982,-0.019466545,0.029810462,-0.0017608106
A0A8H7T8U9_9HELO/591-697,-3.1580708,-0.008349126,-0.054737106,1.0880233,0.39532048,-1.0585818,-0.098752,0.036767386,-0.00078934245,-0.050233822
G7E1J5_MIXOS/214-330,0.19783384,0.031657662,0.05693115,0.7955686,-0.02175379,1.4149333,-0.03755004,-0.027561055,-0.037361562,0.062007
A0A8B9MDI9_9AVES/198-306,0.7443978,0.023629285,-0.06844116,0.017878888,2.8027487,1.0498765,-0.040837415,0.014767669,-0.005420873,-0.02412346
S9WGZ8_9TRYP/305-410,-0.56923527,0.036469974,0.037915815,1.1926647,0.4933065,-2.2219934,-0.053088136,-0.041049704,0.0030058492,0.015794557
A0A8H5AF94_FUSOX/196-307,-2.3036478,0.0117777735,-0.030016672,0.5296777,1.9637661,3.1411567,0.028121607,0.040524997,0.0034368355,-0.038741197
G4U868_NEUT9/30-140,-0.5368865,0.018086504,0.022842955,0.8762117,-1.9546602,1.3021244,0.013039639,-0.029315868,-0.014655524,0.010180522
A0A151WT61_9HYME/506-616,-2.6305397,-0.02872419,0.043509264,2.3439963,2.7606556,-1.0177755,-0.08056096,0.0821766,-0.021035342,-0.015504759
A0A8H8CVY9_9EURO/344-455,2.9056246,-0.032537863,-0.0039493367,1.5598556,-0.84377486,-2.1308322,-0.13920614,-0.07391754,0.09472282,-0.015366748
A0A8B9PUR3_APTOW/177-285,0.7380724,0.02234292,-0.06695741,-0.071986586,2.774132,1.0577458,-0.040190093,0.016635004,-0.0077345734,-0.022200204
A0A674N6F2_TAKRU/369-497,2.3431454,-0.041538656,-0.044721525,-0.5653514,1.9938108,-1.1480196,-0.071996756,0.012150537,0.0001190044,-0.013878118
I4Y5L0_WALMC/104-217,-1.5592277,0.0036347844,-0.0014697425,0.51215124,-1.1536639,-0.33063987,-0.024544789,-0.012210969,-0.054160483,0.046455946
A0A673M7D8_9TELE/258-366,1.4527634,0.03046241,-0.098554626,-0.5132116,2.3878758,1.6963278,-0.009513786,0.028268568,-0.011357999,-0.024383709
W2SWW7_NECAM/219-325,0.18750823,0.043083206,-0.007182695,0.6903745,1.8496461,2.06433,-0.035473928,0.0075934306,-0.011381426,-0.008436456
